STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,,
USC00142835,"FORT SCOTT, KS US",1/1/2007,0,0,41,27,,
USC00142835,"FORT SCOTT, KS US",1/2/2007,0,0,44,21,,
USC00142835,"FORT SCOTT, KS US",1/3/2007,0,0,47,20,,
USC00142835,"FORT SCOTT, KS US",1/4/2007,0,0,50,31,,
USC00142835,"FORT SCOTT, KS US",1/5/2007,0.05,0,51,45,,
USC00142835,"FORT SCOTT, KS US",1/6/2007,0.08,0,51,32,,
USC00142835,"FORT SCOTT, KS US",1/7/2007,0,0,48,29,,
USC00142835,"FORT SCOTT, KS US",1/8/2007,0,0,44,26,,
USC00142835,"FORT SCOTT, KS US",1/9/2007,0,0,52,27,,
USC00142835,"FORT SCOTT, KS US",1/10/2007,0,0,42,26,,
USC00142835,"FORT SCOTT, KS US",1/11/2007,0,0,56,30,,
USC00142835,"FORT SCOTT, KS US",1/12/2007,0.02,0,60,29,,
USC00142835,"FORT SCOTT, KS US",1/13/2007,0,0,21,17,,
USC00142835,"FORT SCOTT, KS US",1/14/2007,0,0,20,19,,
USC00142835,"FORT SCOTT, KS US",1/15/2007,0,0,28,18,,
USC00142835,"FORT SCOTT, KS US",1/16/2007,0,0,20,4,,
USC00142835,"FORT SCOTT, KS US",1/17/2007,0,0,21,4,,
USC00142835,"FORT SCOTT, KS US",1/18/2007,0,0,28,21,,
USC00142835,"FORT SCOTT, KS US",1/19/2007,0,0,39,21,,
USC00142835,"FORT SCOTT, KS US",1/20/2007,0,0,39,19,,
USC00142835,"FORT SCOTT, KS US",1/21/2007,0.7,4.5,35,25,,
USC00142835,"FORT SCOTT, KS US",1/22/2007,0,0,36,27,,
USC00142835,"FORT SCOTT, KS US",1/23/2007,0,0,32,16,,
USC00142835,"FORT SCOTT, KS US",1/24/2007,0,0,37,18,,
USC00142835,"FORT SCOTT, KS US",1/25/2007,0,0,43,21,,
USC00142835,"FORT SCOTT, KS US",1/26/2007,0,0,40,19,,
USC00142835,"FORT SCOTT, KS US",1/27/2007,0,0,49,33,,
USC00142835,"FORT SCOTT, KS US",1/28/2007,0,0,36,15,,
USC00142835,"FORT SCOTT, KS US",1/29/2007,0,0,28,15,,
USC00142835,"FORT SCOTT, KS US",1/30/2007,0,0,44,12,,
USC00142835,"FORT SCOTT, KS US",1/31/2007,0,0,22,10,,
USC00142835,"FORT SCOTT, KS US",2/1/2007,0.2,,23,14,,
USC00142835,"FORT SCOTT, KS US",2/2/2007,0,0,32,14,,
USC00142835,"FORT SCOTT, KS US",2/3/2007,0,0,19,10,,
USC00142835,"FORT SCOTT, KS US",2/4/2007,0.01,,21,10,,
USC00142835,"FORT SCOTT, KS US",2/5/2007,0,0,31,9,,
USC00142835,"FORT SCOTT, KS US",2/6/2007,0,0,38,15,,
USC00142835,"FORT SCOTT, KS US",2/7/2007,0,0,56,21,,
USC00142835,"FORT SCOTT, KS US",2/8/2007,0,0,29,19,,
USC00142835,"FORT SCOTT, KS US",2/9/2007,0,0,29,19,,
USC00142835,"FORT SCOTT, KS US",2/10/2007,0,0,24,17,,
USC00142835,"FORT SCOTT, KS US",2/11/2007,0,0,33,17,,
USC00142835,"FORT SCOTT, KS US",2/12/2007,0,0,37,20,,
USC00142835,"FORT SCOTT, KS US",2/13/2007,0.45,0,37,27,,
USC00142835,"FORT SCOTT, KS US",2/14/2007,0,0,29,11,,
USC00142835,"FORT SCOTT, KS US",2/15/2007,0,0,22,8,,
USC00142835,"FORT SCOTT, KS US",2/16/2007,0,0,18,6,,
USC00142835,"FORT SCOTT, KS US",2/17/2007,0,0,40,6,,
USC00142835,"FORT SCOTT, KS US",2/18/2007,0,0,33,23,,
USC00142835,"FORT SCOTT, KS US",2/19/2007,0.41,0,52,25,,
USC00142835,"FORT SCOTT, KS US",2/20/2007,2.88,0,61,35,,
USC00142835,"FORT SCOTT, KS US",2/21/2007,0,0,57,28,,
USC00142835,"FORT SCOTT, KS US",2/22/2007,0,0,65,37,,
USC00142835,"FORT SCOTT, KS US",2/23/2007,0,0,59,29,,
USC00142835,"FORT SCOTT, KS US",2/24/2007,0.14,0,70,42,,
USC00142835,"FORT SCOTT, KS US",2/25/2007,0.56,0,59,34,,
USC00142835,"FORT SCOTT, KS US",2/26/2007,0,0,43,31,,
USC00142835,"FORT SCOTT, KS US",2/27/2007,0,0,49,28,,
USC00142835,"FORT SCOTT, KS US",2/28/2007,0,0,60,27,,
USC00142835,"FORT SCOTT, KS US",3/1/2007,0,0,73,39,,
USC00142835,"FORT SCOTT, KS US",3/2/2007,0,0,47,31,,
USC00142835,"FORT SCOTT, KS US",3/3/2007,0.01,0,48,24,,
USC00142835,"FORT SCOTT, KS US",3/4/2007,0,0,36,17,,
USC00142835,"FORT SCOTT, KS US",3/5/2007,0,0,58,18,,
USC00142835,"FORT SCOTT, KS US",3/6/2007,0,0,66,27,,
USC00142835,"FORT SCOTT, KS US",3/7/2007,0,0,72,33,,
USC00142835,"FORT SCOTT, KS US",3/8/2007,0,0,64,29,,
USC00142835,"FORT SCOTT, KS US",3/9/2007,0,0,65,31,,
USC00142835,"FORT SCOTT, KS US",3/10/2007,0.06,0,70,38,,
USC00142835,"FORT SCOTT, KS US",3/11/2007,0,0,62,39,,
USC00142835,"FORT SCOTT, KS US",3/12/2007,0,0,64,47,,
USC00142835,"FORT SCOTT, KS US",3/13/2007,0,0,72,43,,
USC00142835,"FORT SCOTT, KS US",3/14/2007,0,0,76,49,,
USC00142835,"FORT SCOTT, KS US",3/15/2007,0,0,72,43,,
USC00142835,"FORT SCOTT, KS US",3/16/2007,0,0,51,33,,
USC00142835,"FORT SCOTT, KS US",3/17/2007,0,0,55,32,,
USC00142835,"FORT SCOTT, KS US",3/18/2007,0,0,64,31,,
USC00142835,"FORT SCOTT, KS US",3/19/2007,0,0,70,31,,
USC00142835,"FORT SCOTT, KS US",3/20/2007,0.32,0,71,49,,
USC00142835,"FORT SCOTT, KS US",3/21/2007,1.06,0,63,49,,
USC00142835,"FORT SCOTT, KS US",3/22/2007,0,0,74,62,,
USC00142835,"FORT SCOTT, KS US",3/23/2007,0.22,0,74,63,,
USC00142835,"FORT SCOTT, KS US",3/24/2007,0.35,0,64,56,,
USC00142835,"FORT SCOTT, KS US",3/25/2007,0.03,0,66,49,,
USC00142835,"FORT SCOTT, KS US",3/26/2007,0,0,75,49,,
USC00142835,"FORT SCOTT, KS US",3/27/2007,0.1,0,71,60,,
USC00142835,"FORT SCOTT, KS US",3/28/2007,0.24,0,73,55,,
USC00142835,"FORT SCOTT, KS US",3/29/2007,0,0,76,54,,
USC00142835,"FORT SCOTT, KS US",3/30/2007,0.62,0,77,58,,
USC00142835,"FORT SCOTT, KS US",3/31/2007,0.35,0,76,58,,
USC00142835,"FORT SCOTT, KS US",4/1/2007,0.01,0,63,54,,
USC00142835,"FORT SCOTT, KS US",4/2/2007,0,0,73,51,,
USC00142835,"FORT SCOTT, KS US",4/3/2007,0,0,83,51,,
USC00142835,"FORT SCOTT, KS US",4/4/2007,0,0,73,31,,
USC00142835,"FORT SCOTT, KS US",4/5/2007,0,0,49,29,,
USC00142835,"FORT SCOTT, KS US",4/6/2007,0,0,45,29,,
USC00142835,"FORT SCOTT, KS US",4/7/2007,0,0,39,20,,
USC00142835,"FORT SCOTT, KS US",4/8/2007,0,0,41,20,,
USC00142835,"FORT SCOTT, KS US",4/9/2007,0,0,48,20,,
USC00142835,"FORT SCOTT, KS US",4/10/2007,0,0,55,34,,
USC00142835,"FORT SCOTT, KS US",4/11/2007,0.53,0,49,43,,
USC00142835,"FORT SCOTT, KS US",4/12/2007,0,0,51,35,,
USC00142835,"FORT SCOTT, KS US",4/13/2007,0.2,0,53,35,,
