MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1900,39,17,0,0
1,2,1900,47,13,0,0
1,3,1900,58,24,0,0
1,4,1900,53,25,0,0
1,5,1900,48,25,0,0
1,6,1900,56,24,0,0
1,7,1900,52,26,0,0
1,8,1900,57,29,0,0
1,9,1900,45,30,5.08,1
1,10,1900,54,24,0,0
1,11,1900,47,25,0,0
1,12,1900,53,26,0,0
1,13,1900,66,30,0,0
1,14,1900,67,31,0,0
1,15,1900,59,29,0,0
1,16,1900,44,30,0,0
1,17,1900,51,25,0,0
1,18,1900,49,25,0,0
1,19,1900,52,24,0,0
1,20,1900,59,21,0,0
1,21,1900,56,30,0,0
1,22,1900,61,21,0,0
1,23,1900,66,25,0,0
1,24,1900,55,31,0,0
1,25,1900,44,12,0,0
1,26,1900,49,24,0,0
1,27,1900,41,15,0,0
1,28,1900,26,6,2.54,1
1,29,1900,54,9,0,0
1,30,1900,45,15,0,0
1,31,1900,47,14,0,0
2,1,1900,54,20,0,0
2,2,1900,55,16,0,0
2,3,1900,60,32,0,0
2,4,1900,51,19,0,0
2,5,1900,62,18,0,0
2,6,1900,66,16,0,0
2,7,1900,54,10,7.62,3
2,8,1900,26,6,0,0
2,9,1900,41,13,0,0
2,10,1900,47,17,0,0
2,11,1900,56,24,0,0
2,12,1900,44,20,2.54,1
2,13,1900,48,16,0,0
2,14,1900,43,7,0,0
2,15,1900,23,1,0,0
2,16,1900,17,2,5.08,2
2,17,1900,32,5,0,0
2,18,1900,68,14,0,0
2,19,1900,48,28,0,0
2,20,1900,42,22,0,0
2,21,1900,54,23,0,0
2,22,1900,68,22,0,0
2,23,1900,58,30,0,0
2,24,1900,53,18,0,0
2,25,1900,64,26,0,0
2,26,1900,50,24,0,0
2,27,1900,42,20,5.08,2
2,28,1900,43,8,0,0
3,1,1900,55.03,17.87,0,0
3,2,1900,51.73,26.05,0,0
3,3,1900,61.84,27.39,0,0
3,4,1900,44.51,23.23,0,0
3,5,1900,43.02,19.65,0,0
3,6,1900,52.29,17.57,0,0
3,7,1900,60.26,22.29,0,0
3,8,1900,70.46,24.6,0,0
3,9,1900,72.12,31.88,0,0
3,10,1900,77.69,31.3,0,0
3,11,1900,79.35,29.59,0,0
3,12,1900,81.67,33.39,0,0
3,13,1900,63.51,33.47,0,0
3,14,1900,41.32,23.88,4.064,0.83
3,15,1900,38.02,16.14,0,0
3,16,1900,46.49,20.2,0,0
3,17,1900,57.65,25.7,0,0
3,18,1900,67.21,26.28,0,0
3,19,1900,63.43,30.09,0,0
3,20,1900,53.99,28.8,0,0
3,21,1900,56.19,30.3,2.794,0.18
3,22,1900,62.88,32.03,0,0
3,23,1900,65.62,39.75,0,0
3,24,1900,63.27,36.74,0,0
3,25,1900,63.2,36.46,0,0
3,26,1900,74.06,37.91,0,0
3,27,1900,66.85,37.68,0,0
3,28,1900,55.72,31.53,0,0
3,29,1900,53.98,27.92,0,0
3,30,1900,48.57,23.72,0,0.42
3,31,1900,64.17,30.99,0,0
4,1,1900,77,36,0,0
4,2,1900,85,39,0,0
4,3,1900,85,44,0,0
4,4,1900,64,46,0,0
4,5,1900,51,43,48.26,0
4,6,1900,54,40,29.21,0
4,7,1900,62,40,0,0
4,8,1900,66,42,3.81,0
4,9,1900,66,34,0,0
4,10,1900,50,23,7.62,3
4,11,1900,42,20,0,0
4,12,1900,53,29,0,0
4,13,1900,67,30,0,0
4,14,1900,75,38,0,0
4,15,1900,60,41,13.208,0
4,16,1900,54,40,2.54,0
4,17,1900,58,34,0,0
4,18,1900,54,37,12.7,0
4,19,1900,65,32,0,0
4,20,1900,68,34,0,0
4,21,1900,74,40,0,0
4,22,1900,75,47,0,0
4,23,1900,70,40,0,0
4,24,1900,75,37,0,0
4,25,1900,76,40,0,0
4,26,1900,81,49,0,0
4,27,1900,76,46,0,0
4,28,1900,75,51,0,0
4,29,1900,63,49,0,0
4,30,1900,57,45,45.72,0
5,1,1900,73,43,0,0
5,2,1900,69,46,0,0
5,3,1900,76,42,0,0
5,4,1900,87,50,0,0
5,5,1900,90,52,0,0
5,6,1900,84,50,11.43,0
5,7,1900,73,48,0,0
5,8,1900,77,49,0,0
5,9,1900,80,47,0,0
5,10,1900,85,49,0,0
5,11,1900,85,54,0,0
5,12,1900,88,58,0,0
5,13,1900,89,52,0,0
5,14,1900,80,56,1.27,0
5,15,1900,68,52,6.35,0
5,16,1900,77,42,0,0
5,17,1900,78,42,0,0
5,18,1900,66,50,14.224,0
5,19,1900,68,48,0,0
5,20,1900,60,48,0,0
5,21,1900,67,47,1.27,0
5,22,1900,81,48,0,0
5,23,1900,85,49,0,0
5,24,1900,84,46,0,0
5,25,1900,87,59,0,0
5,26,1900,87,48,0,0
5,27,1900,87,51,0,0
5,28,1900,88,52,0,0
5,29,1900,90,52,0,0
5,30,1900,90,55,0,0
5,31,1900,93,56,0,0
6,1,1900,89,57,0,0
6,2,1900,86,56,0,0
6,3,1900,87,57,5.588,0
6,4,1900,93,56,0,0
6,5,1900,89,55,0,0
6,6,1900,98,58,0,0
6,7,1900,96,54,0,0
6,8,1900,93,55,0,0
6,9,1900,94,60,4.064,0
6,10,1900,81,51,17.78,0
6,11,1900,82,59,1.27,0
6,12,1900,94,58,0.762,0
6,13,1900,85,55,0,0
6,14,1900,88,58,0,0
6,15,1900,94,60,0,0
6,16,1900,98,56,0,0
6,17,1900,99,54,5.08,0
6,18,1900,87,57,0,0
6,19,1900,89,59,0,0
6,20,1900,94,60,0,0
6,21,1900,100,60,0,0
6,22,1900,91,65,0,0
6,23,1900,88,56,0,0
