MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1890,57,26,0,0
1,2,1890,33,18,0,0
1,3,1890,40,22,0,0
1,4,1890,52,38,0,0
1,5,1890,66,20,7.62,0
1,6,1890,20,15,29.21,0
1,7,1890,26,20,0,0
1,8,1890,42,22,0,0
1,9,1890,54,38,0,0
1,10,1890,59,44,7.62,0
1,11,1890,60,42,0,0
1,12,1890,32,10,21.59,0
1,13,1890,25,9,0,0
1,14,1890,43,22,0,0
1,15,1890,20,7,0,0
1,16,1890,31,4,0,0
1,17,1890,49,26,0,0
1,18,1890,47,24,0,0
1,19,1890,34,10,0,0
1,20,1890,22,8,0,0
1,21,1890,31,8,0,0
1,22,1890,33,25,0,0
1,23,1890,46,28,0,0
1,24,1890,48,24,0,0
1,25,1890,56,48,0,0
1,26,1890,72,44,0,0
1,27,1890,53,35,0,0
1,28,1890,58,35,0,0
1,29,1890,68,36,0,0
1,30,1890,75,44,0,0
1,31,1890,43,38,0,0
2,1,1890,42,37,0,0
2,2,1890,58,40,0,0
2,3,1890,73,54,0,0
2,4,1890,76,58,0,0
2,5,1890,46,40,0,0
2,6,1890,35,33,10.16,0
2,7,1890,46,29,0,0
2,8,1890,44,20,0,0
2,9,1890,60,28,0,0
2,10,1890,66,34,0,0
2,11,1890,46,33,0,0
2,12,1890,50,27,0,0
2,13,1890,42,36,3.556,0
2,14,1890,45,34,0,0
2,15,1890,62,28,0,0
2,16,1890,71,40,0,0
2,17,1890,51.77,32.86,0,0
2,18,1890,35,24,0,0
2,19,1890,42,26,0,0
2,20,1890,21,14,0,0
2,21,1890,32,17,0,0
2,22,1890,43,37,0,0
2,23,1890,52,33,0,0
2,24,1890,63,33,0,0
2,25,1890,39,14,0,0
2,26,1890,21,12,0,0
2,27,1890,12,8,0,0
2,28,1890,24,0,0,0
3,1,1890,27,15,0,0
3,2,1890,44,12,0,0
3,3,1890,64,26,0,0
3,4,1890,42,30,0,0
3,5,1890,31,21,0,0
3,6,1890,38,20,0,0
3,7,1890,57,28,0,0
3,8,1890,48.76,28,0,0
3,9,1890,49,29,0,0
3,10,1890,71,41.38,8.128,0
3,11,1890,48,40,0,0
3,12,1890,57,28,0,0
3,13,1890,56,31,0,0
3,14,1890,60,26,0,0
3,15,1890,35,18,0,0
3,16,1890,58,21,0,0
3,17,1890,78,43,0,0
3,18,1890,70,49,0,0
3,19,1890,60,36,0,0
3,20,1890,72,45,0,0
3,21,1890,73,45,0,0
3,22,1890,63,44,0,0
3,23,1890,69,41,0,0
3,24,1890,78,55,0,0
3,25,1890,71,38.07,0,0
3,26,1890,70,50,0,0
3,27,1890,57,38,0,0
3,28,1890,64,30,0,0
3,29,1890,80,43,0,0
3,30,1890,38,36,20.32,0
3,31,1890,36,31,0,0
4,1,1890,46,36,12.7,0
4,2,1890,54,46,12.7,0
4,3,1890,52,43,0,0
4,4,1890,70,46,0,0
4,5,1890,78,48,0,0
4,6,1890,85,60,0,0
4,7,1890,89,63,0,0
4,8,1890,76,53,0,0
4,9,1890,62,40,0,0
4,10,1890,84,43,0,0
4,11,1890,85,64,0,0
4,12,1890,85,64,0,0
4,13,1890,85,59,0,0
4,14,1890,56,48,0,0
4,15,1890,50,48,0,0
4,16,1890,48,46,0,0
4,17,1890,54,44,0,0
4,18,1890,68,49,0,0
4,19,1890,71,53,0,0
4,20,1890,71,54,0,0
4,21,1890,69,58,6.35,0
4,22,1890,64,58,0,0
4,23,1890,77,61,0,0
4,24,1890,72,54,48.26,0
4,25,1890,57,50,5.08,0
4,26,1890,48,47,0,0
4,27,1890,72,43,0,0
4,28,1890,78,48,0,0
4,29,1890,85,55,0,0
4,30,1890,86,58,0,0
5,1,1890,87,62,7.62,0
5,2,1890,78,53,0,0
5,3,1890,83,62,6.35,0
5,4,1890,63,58,10.16,0
5,5,1890,62,43,0,0
5,6,1890,66,43,0,0
5,7,1890,72,40,0,0
5,8,1890,78,58,0,0
5,9,1890,84,68,9.652,0
5,10,1890,76,60,0,0
5,11,1890,84,54,0,0
5,12,1890,88,67,0,0
5,13,1890,68,48,0,0
5,14,1890,83,46,0,0
5,15,1890,68,44,0,0
5,16,1890,74,42,0,0
