MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1900,32,13,0,0
1,2,1900,44,14,0,0
1,3,1900,53,28,0,0
1,4,1900,51,24,0,0
1,5,1900,48,24,0,0
1,6,1900,52,26,0,0
1,7,1900,51,25,0,0
1,8,1900,54,28,0,0
1,9,1900,46,19,0,0
1,10,1900,50,19,0,0
1,11,1900,44,23,0,0
1,12,1900,49,26,0,0
1,13,1900,64,28,0,0
1,14,1900,60,27,0,0
1,15,1900,45,29,0,0
1,16,1900,40,24,0,0
1,17,1900,48,22,0,0
1,18,1900,48,22,0,0
1,19,1900,59,29,0,0
1,20,1900,50,24,0,0
1,21,1900,51,22,0,0
1,22,1900,58,24,0,0
1,23,1900,65,30,0,0
1,24,1900,45,11,0,0
1,25,1900,41,14,0,0
1,26,1900,45,15,0,0
1,27,1900,28,1,0,0
1,28,1900,22,5,0,0
1,29,1900,51,17,0,0
1,30,1900,41,18,0,0
1,31,1900,44,18,0,0
2,1,1900,53,19,0,0
2,2,1900,54,21,0,0
2,3,1900,40,12,0,0
2,4,1900,48,18,0,0
2,5,1900,50,17,0,0
2,6,1900,60,19,0,0
2,7,1900,22,2,0,0
2,8,1900,19,3,0,0
2,9,1900,31,10,0,0
2,10,1900,42,20,0,0
2,11,1900,51,21,0,0
2,12,1900,28,11,0,0
2,13,1900,15,-1,5.08,2
2,14,1900,12,-4,0,0
2,15,1900,10,-7,0,0
2,16,1900,25,8,0,0
2,17,1900,52,25,0,0
2,18,1900,44,25,0,0
2,19,1900,38,29,2.54,1
2,20,1900,48,28,0,0
2,21,1900,50,26,0,0
2,22,1900,60,27,0,0
2,23,1900,37,23,0,0
2,24,1900,48,28,0,0
2,25,1900,57,27,0,0
2,26,1900,47,23,0,0
2,27,1900,30,13,0,0
2,28,1900,46,17,0,0
3,1,1900,40,28,0,0
3,2,1900,53,30,0,0
3,3,1900,69,23,0,0
3,4,1900,39.23,18,0,0
3,5,1900,32,14,0,0
3,6,1900,48,25,0,0
3,7,1900,59,24,0,0
3,8,1900,74,35,0,0
3,9,1900,64,32,0,0
3,10,1900,75,40,0,0
3,11,1900,76,36,0,0
3,12,1900,77,28,0,0
3,13,1900,59,31,0,0
3,14,1900,42,15,5.08,2
3,15,1900,31,15,0,0
3,16,1900,38,20,0,0
3,17,1900,50,26,0,0
3,18,1900,64,27,0,0
3,19,1900,55,30,0,0
3,20,1900,48,24,0,0
3,21,1900,57,25,0,0
3,22,1900,62,36,0,0
3,23,1900,60,36,0,0
3,24,1900,60,32,5.08,0
3,25,1900,59,37,0,0
3,26,1900,71,41,0,0
3,27,1900,60,32,0,0
3,28,1900,47,26,0,0
3,29,1900,46,19,0,0
3,30,1900,41,25,2.54,1
3,31,1900,68,31,0,0
4,1,1900,70,35,0,0
4,2,1900,79,42,0,0
4,3,1900,73,44,0,0
4,4,1900,46,38,19.812,0
4,5,1900,48,41,21.59,0
4,6,1900,48,40,12.192,0
4,7,1900,62,42,0,0
4,8,1900,56,38,6.35,0
4,9,1900,62,32,4.064,0
4,10,1900,32,16,12.7,5
4,11,1900,38,24,0,0
4,12,1900,46,32,0,0
4,13,1900,60,35,0,0
4,14,1900,64,44,7.62,0
4,15,1900,44,40,15.748,0
4,16,1900,42,33,2.794,0
4,17,1900,60,32,0,0
4,18,1900,64,34,0,0
4,19,1900,60,35,0,0
4,20,1900,66,40,0,0
4,21,1900,70,48,0,0
4,22,1900,70,37,0,0
4,23,1900,68,37,12.7,0
4,24,1900,67,41,0,0
4,25,1900,70,37,0,0
4,26,1900,72,48,0,0
4,27,1900,66,52,0,0
4,28,1900,63,58,0,0
4,29,1900,61,43,10.16,0
4,30,1900,48,42,0,0
5,1,1900,61,43,0,0
5,2,1900,62,36,0,0
5,3,1900,73,44,0,0
5,4,1900,80,52,0,0
5,5,1900,83,48,0,0
5,6,1900,70,46,10.16,0
5,7,1900,64,45,0,0
5,8,1900,73,46,0,0
5,9,1900,71,46,0,0
5,10,1900,79,53,0,0
5,11,1900,81,57,0,0
5,12,1900,82,45,0,0
5,13,1900,80,40,0,0
5,14,1900,75,37,0,0
5,15,1900,68,38,1.27,0
5,16,1900,65,39,0,0
5,17,1900,68,47,0,0
5,18,1900,65,46,0,0
5,19,1900,65,40,0,0
5,20,1900,56,49,0,0
5,21,1900,65,41,0,0
5,22,1900,69,46,0,0
5,23,1900,71,42,0,0
5,24,1900,79.24,55.53,0,0
5,25,1900,72,48,0,0
5,26,1900,81,48,0,0
5,27,1900,80,51,0,0
5,28,1900,82,52,0,0
5,29,1900,86,56,0,0
5,30,1900,86,54,0,0
5,31,1900,92,57,0,0
6,1,1900,80,67,0,0
6,2,1900,79,57,0,0
6,3,1900,84,56,23.622,0
6,4,1900,81,56,2.032,0
6,5,1900,84,58,0,0
6,6,1900,90,56,0,0
6,7,1900,85,55,0,0
6,8,1900,87,59,0,0
6,9,1900,92,52,0,0
6,10,1900,77,56,0,0
6,11,1900,80,52,9.652,0
6,12,1900,83,55,0,0
6,13,1900,83,56,0,0
6,14,1900,80,54,0,0
6,15,1900,87,58,0,0
6,16,1900,91,57,0,0
6,17,1900,90,58,0,0
6,18,1900,79,57,0,0
6,19,1900,85,57,0,0
6,20,1900,92,60,0,0
6,21,1900,98,62,0,0
6,22,1900,87,57,0,0
6,23,1900,85,54,0,0
6,24,1900,83,51,0,0
6,25,1900,94,55,0,0
6,26,1900,100,65,0,0
6,27,1900,102,66,0,0
6,28,1900,96,62,0,0
6,29,1900,99,65,0,0
6,30,1900,100,70,0,0
7,1,1900,100,66,0,0
7,2,1900,100,72,0,0
7,3,1900,102,65,1.778,0
7,4,1900,89,57,1.27,0
7,5,1900,94,61,0,0
7,6,1900,101,63,0,0
7,7,1900,90,58,0,0
7,8,1900,91,56,0,0
7,9,1900,101,60,6.35,0
7,10,1900,95,56,0,0
7,11,1900,98,66,0,0
7,12,1900,98,68,0,0
7,13,1900,98,68,0,0
7,14,1900,97,70,0,0
7,15,1900,79,59,24.13,0
7,16,1900,72,52,0,0
7,17,1900,84,61,0,0
7,18,1900,97,59,0,0
7,19,1900,70,53,0,0
7,20,1900,83,54,0,0
7,21,1900,90,62,0,0
7,22,1900,98,63,0,0
7,23,1900,94,63,0,0
7,24,1900,79,63,0,0
7,25,1900,83,55,0,0
7,26,1900,87,65,0,0
7,27,1900,94,62,0,0
7,28,1900,91,53,0,0
7,29,1900,84,54,0,0
7,30,1900,92,56,0,0
7,31,1900,94,51,0,0
8,1,1900,95,58,0,0
8,2,1900,95,63,0,0
8,3,1900,95,65,0,0
8,4,1900,91,66,0,0
8,5,1900,92,66,0,0
8,6,1900,93,66,0,0
8,7,1900,95,65,0,0
8,8,1900,92,65,0,0
8,9,1900,91,60,0,0
8,10,1900,98,63,0,0
8,11,1900,99,56,0,0
8,12,1900,97,60,0,0
8,13,1900,101,60,0,0
8,14,1900,101,61,0,0
8,15,1900,99,57,0,0
8,16,1900,100,66,0,0
8,17,1900,102,60,0,0
8,18,1900,94,64,0,0
8,19,1900,96,65,0,0
8,20,1900,100,66,0,0
8,21,1900,100,60,4.318,0
8,22,1900,92,57,27.686,0
8,23,1900,88,52,0,0
8,24,1900,83,53,0.762,0
8,25,1900,85,56,0,0
8,26,1900,95,57,0,0
8,27,1900,88,61,0,0
8,28,1900,90,57,0,0
8,29,1900,91,56,0,0
8,30,1900,89,61,0,0
8,31,1900,90,62,0,0
9,1,1900,95,59,0,0
9,2,1900,80,60,0,0
9,3,1900,84,64,11.43,0
9,4,1900,85,64,0,0
9,5,1900,90,65,0,0
9,6,1900,90,64,0,0
9,7,1900,90,64,0,0
9,8,1900,92,62,0,0
9,9,1900,88,54,0,0
9,10,1900,72,56,4.318,0
9,11,1900,76,52,13.97,0
9,12,1900,75,53,0,0
