MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1908,46.76,17.78,0,0
1,2,1908,48.8,16.09,0,0
1,3,1908,48.14,18.94,0,0
1,4,1908,48,14.61,0,0
1,5,1908,46.93,14.87,0,0
1,6,1908,46.27,17.44,0,0
1,7,1908,50.79,15.95,0,0
1,8,1908,54.62,11.65,0,0
1,9,1908,59.19,20.06,0,0
1,10,1908,41.59,22.04,0,0
1,11,1908,42.37,8.37,0,0
1,12,1908,40,15.11,0,0
1,13,1908,44,14.18,0,0
1,14,1908,56.22,7.96,0,0
1,15,1908,44.45,8.85,0,0
1,16,1908,43.22,-2,0,0
1,17,1908,42.18,20.41,0,0
1,18,1908,53,13.18,0,0
1,19,1908,47.41,17.37,0,0
1,20,1908,60,11.18,0,0
1,21,1908,48.18,21.41,0,0
1,22,1908,43.59,21.78,0,0
1,23,1908,41.59,0.58,0,0
1,24,1908,55.59,12.96,0,0
1,25,1908,58.78,20,0,0
1,26,1908,49.18,22.96,0,0
1,27,1908,58.18,11.18,0,0
1,28,1908,43.37,17.41,0,0
1,29,1908,36.41,8.78,0,0
1,30,1908,34.59,7.37,0,0.28
1,31,1908,29.99,2.67,0,0.61
2,1,1908,19.51,-12.93,0,0
2,2,1908,39.61,-9.47,0,0
2,3,1908,31.95,7.9,0,0
2,4,1908,31.44,15.22,0,0.7
2,5,1908,44.61,22.85,0,0
2,6,1908,56.1,19.45,0,0
2,7,1908,47.12,16.7,0,0
2,8,1908,35.93,19.95,0,0
2,9,1908,37.24,19.85,0,0
2,10,1908,46.56,22.49,0,0
2,11,1908,41.81,33.83,7.366,0.24
2,12,1908,40.5,27.29,0,0
2,13,1908,42.31,21.07,4.572,0.46
2,14,1908,40.59,13.46,0,0
2,15,1908,47.44,22.97,0,0
2,16,1908,51.99,23.63,0,0
2,17,1908,46.39,23.63,0,0
2,18,1908,34.95,13.22,0,0
2,19,1908,33.16,1.16,0,0
2,20,1908,40.41,14.29,0,0
2,21,1908,46.95,15.15,0,0
2,22,1908,58.84,23.93,0,0
2,23,1908,66.71,18.2,0,0
2,24,1908,60.56,26.27,3.302,0
2,25,1908,48.23,22.36,0,0
2,26,1908,46.75,23.4,0,0
2,27,1908,53.02,20.88,0,0
2,28,1908,51.9,24.95,0,0
2,29,1908,58.05,19.87,0,0.62
3,1,1908,52.49,19.92,0,0
3,2,1908,51.2,17.83,0,0
3,3,1908,49.12,17.39,0,0
3,4,1908,43.29,34.88,0,0
3,5,1908,36.68,31.15,0,0
3,6,1908,35.59,17.36,0,0.84
3,7,1908,52.94,17.4,0,0
3,8,1908,46.1,11.14,0,0
3,9,1908,55.39,16.61,0,0
3,10,1908,62.93,17.78,0,0
3,11,1908,70.73,22.54,0,0
3,12,1908,64.49,23.44,0,0
3,13,1908,70.54,33.56,0,0
3,14,1908,72.15,34.84,0,0
3,15,1908,69.83,32.81,0,0
3,16,1908,77.19,34.5,0,0
3,17,1908,65.25,35.02,0,0
3,18,1908,47.41,30.29,0,0
3,19,1908,41.85,21.53,0,0
3,20,1908,63.15,13.1,0,0
3,21,1908,58.83,22.29,0,0
3,22,1908,55.57,23.58,0,0
3,23,1908,65.73,24.41,0,0
3,24,1908,69.31,34.72,0,0
3,25,1908,81.9,37.74,0,0
3,26,1908,68.87,17.36,0,0
3,27,1908,50,19.07,0,0
3,28,1908,50.46,22.02,0,0
3,29,1908,57.46,16.1,0,0
3,30,1908,68.94,31.32,0,0
3,31,1908,74.01,24.56,0,0
4,1,1908,62.56,18.95,0,0
4,2,1908,61.83,16.5,0,0
4,3,1908,72.47,21.27,0,0
4,4,1908,74.47,29.53,0,0
