MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1900,29,11,0,0
1,2,1900,50,16.69,0,0
1,3,1900,54,18,0,0
1,4,1900,51,22,0,0
1,5,1900,44,26,0,0
1,6,1900,59,19,0,0
1,7,1900,56,23,0,0
1,8,1900,53,22,0,0
1,9,1900,49,24,0,0
1,10,1900,54,15,0,0
1,11,1900,48,22,0,0
1,12,1900,53,25,0,0
1,13,1900,67,25,0,0
1,14,1900,68,21,0,0
1,15,1900,48,29,0,0
1,16,1900,38,25,0,0
1,17,1900,50,22,0,0
1,18,1900,52,23,0,0
1,19,1900,65,20,0,0
1,20,1900,51,27,0,0
1,21,1900,52,22,0,0
1,22,1900,63,18,0,0
1,23,1900,65,16,0,0
1,24,1900,48,24,0,0
1,25,1900,45,9,0,0
1,26,1900,39,14,0,0
1,27,1900,29,9,0,0
1,28,1900,20,-8,0,0
1,29,1900,50,2,0,0
1,30,1900,41,14,0,0
1,31,1900,34,15,0,0
2,1,1900,55,12,0,0
2,2,1900,56,9,0,0
2,3,1900,53,28,0,0
2,4,1900,53,10,0,0
2,5,1900,39,10,0,0
2,6,1900,63,10,0,0
2,7,1900,40,8,6.35,2.5
2,8,1900,14,-1,0,0
2,9,1900,32,7,0,0
2,10,1900,41,1,0,0
2,11,1900,53,25,0,0
2,12,1900,38,20,10.16,4
2,13,1900,36,-1,0,0
2,14,1900,22,1,0,0
2,15,1900,10,-3,1.016,0.5
2,16,1900,12,-11,0,0
2,17,1900,23,-6,0,0
2,18,1900,48,7,0,0
2,19,1900,38,27,0,0
2,20,1900,39,25,0,0
2,21,1900,47,22,0,0
2,22,1900,62,26,0,0
2,23,1900,47,29,8.128,1.3
2,24,1900,33,20,0,0
2,25,1900,53,25,0,0
2,26,1900,43,26,0,0
2,27,1900,31,22,5.08,2
2,28,1900,39,10,0,0
3,1,1900,51,24,0,0
3,2,1900,48,27,0,0
3,3,1900,67,28,0,0
3,4,1900,45,17,0,0
3,5,1900,25,12,2.286,1
3,6,1900,46,9,0,0
