MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1891,35,18,0,0
1,2,1891,35,18,0,0
1,3,1891,42,17,0,0
1,4,1891,49,30,0,0
1,5,1891,44,14,0,0
1,6,1891,41,23,0,0.02
1,7,1891,35,25,0,0.04
1,8,1891,29,23,1.27,0.73
1,9,1891,25,22,6.604,1.07
1,10,1891,29,20,0,0
1,11,1891,32,15,0,0
1,12,1891,30,24,0,0
1,13,1891,45,19,0,0
1,14,1891,48,19,0,0
1,15,1891,22,19,0,0
1,16,1891,27,-1,0,0
1,17,1891,35,6,0,0
1,18,1891,32,10,0,0
1,19,1891,38,8,0,0
1,20,1891,45,18,0,0
1,21,1891,42,20,0,0
1,22,1891,32,27,0,0.02
1,23,1891,43,17,0.508,0.1
1,24,1891,46,20,0,0
1,25,1891,53,23,0,0
1,26,1891,40,33,0,0
1,27,1891,40,33,4.572,0.51
1,28,1891,33,22,9.144,2.15
1,29,1891,34,22,2.032,0.36
1,30,1891,38,20,1.524,0.32
1,31,1891,28,-3,0,0.06
2,1,1891,19,-3,0,0
2,2,1891,6,-1,0,0.08
2,3,1891,30,-7,0,0
2,4,1891,41,10,0,0
2,5,1891,42,11,0,0
2,6,1891,41,18,0,0
2,7,1891,46,20,0,0
2,8,1891,46,3,6.858,1.54
2,9,1891,26,0,9.398,0
2,10,1891,38,8,0,0
2,11,1891,48,21,0,0
2,12,1891,44,23,0,0
2,13,1891,40,20,0,0
2,14,1891,48,21,0,0
2,15,1891,50,30,0,0
2,16,1891,50,10,0,0
2,17,1891,27,8,0,0
2,18,1891,31,15,0,0
2,19,1891,30,22,4.826,1
2,20,1891,42,20,0,0
2,21,1891,52,17,0,0
2,22,1891,53,24,0,0
2,23,1891,56,28,1.778,0
2,24,1891,29,12,0.254,0
2,25,1891,12,3,0,0.05
2,26,1891,27,-3,0,0
2,27,1891,22,18,0.254,0.19
2,28,1891,21.02,-7.26,0,0
3,1,1891,34.49,11.75,0,0
3,2,1891,25.99,19.74,0,0.08
3,3,1891,17.6,-1.75,0,0
3,4,1891,25.24,-5.01,0,0
3,5,1891,34.24,13.01,0,0
3,6,1891,22.5,10.74,0.254,0.13
3,7,1891,21.25,8.99,0,0
3,8,1891,33.49,9.75,0,0
3,9,1891,42.25,8,0,0
3,10,1891,43.99,26.74,0.762,0.29
3,11,1891,36.24,9.5,0,0
3,12,1891,33.75,8.5,0,0
3,13,1891,31.74,5.26,0,0
3,14,1891,37.86,10.49,0,0
3,15,1891,60.74,26.25,0,0
3,16,1891,63.74,26,0,0
