MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1893,42,21,0,0
1,2,1893,28,15,1.524,1
1,3,1893,31,10,0,0
1,4,1893,44,37,0,0
1,5,1893,28,15,0,0
1,6,1893,33,13,0,0
1,7,1893,19,17,0,0
1,8,1893,33,13,0,0
1,9,1893,43,16,0,0
1,10,1893,17,3,0,0
1,11,1893,32,18,0,1
1,12,1893,22,8,0,0
1,13,1893,18,-4,0,0
1,14,1893,12,2,0,0
1,15,1893,16,0,0,0
1,16,1893,21,10,0,0
1,17,1893,35,5,0,0
1,18,1893,18,6,0,0
1,19,1893,30,4,0,0
1,20,1893,41,22,0,0
1,21,1893,37,22,0,0
1,22,1893,46,22,0,0
1,23,1893,45,31,0,0
1,24,1893,50,35,0,0
1,25,1893,40,26,0,0
1,26,1893,8,3,0,0
1,27,1893,13,5,1.27,0
1,28,1893,19,12,0,1.5
1,29,1893,22,-1,0,0
1,30,1893,21,16,0,0
1,31,1893,47,20,0,0
2,1,1893,-4,-7,2.032,1.5
2,2,1893,11,-1,5.588,0
2,3,1893,6,-3,0,0
2,4,1893,34,0,0,0
2,5,1893,45,30,0,0
2,6,1893,1,-6,0,0.5
2,7,1893,16,-10,0,0
2,8,1893,22,5,0.508,0
2,9,1893,39,17,0.762,0
2,10,1893,34,15,0,0
2,11,1893,34,20,0,6
2,12,1893,48,25,0,0
2,13,1893,47,30,0,0
2,14,1893,40,14,5.334,0
2,15,1893,34,9,0,0
2,16,1893,46,24,0,0
2,17,1893,39,25,10.668,0
2,18,1893,46,24,0,0
2,19,1893,53,32,0,0
2,20,1893,42,25,0,0
2,21,1893,39,28,0,0
2,22,1893,43,19,0,0
2,23,1893,48,31,0,0
2,24,1893,42,32,0,0
2,25,1893,49,22,0,0
2,26,1893,53,32,0,0
2,27,1893,58,18,9.398,0
2,28,1893,40,16,0,0
3,1,1893,54,23,0,0
3,2,1893,58,33,0,0
3,3,1893,23,15,0,10
3,4,1893,37,8,0,0
3,5,1893,50,19,0,0
3,6,1893,58,27,0,0
3,7,1893,45,33,13.208,0
3,8,1893,53,39,5.842,0
3,9,1893,61,37,0,0
3,10,1893,68,39,0,0
3,11,1893,54,34,0,0
3,12,1893,67,28,0,0
3,13,1893,43,30,0,0
3,14,1893,32,15,0,0
3,15,1893,36,10,0,0
3,16,1893,28,23,2.794,1
3,17,1893,30,11,0,0
3,18,1893,40,7,0,0
3,19,1893,54,28,0,0
3,20,1893,57,39,0,0
3,21,1893,49,30,0,0
3,22,1893,64,40,0.762,0
3,23,1893,69,35,18.288,0
3,24,1893,39,24,0,0
3,25,1893,48,23,0,0
3,26,1893,57,25,0,0
3,27,1893,34,31,19.812,4
3,28,1893,49,21,0,0
3,29,1893,62,31,0,0
3,30,1893,80,43,0,0
3,31,1893,78,51,0,0
4,1,1893,63,39,0,0
4,2,1893,76,35,0,0
4,3,1893,85,59,1.778,0
4,4,1893,77,45,0,0
4,5,1893,89,57,3.048,0
4,6,1893,94,44,0,0
4,7,1893,82,65,0,0
4,8,1893,58,38,0,0
4,9,1893,55,37,0,0
4,10,1893,67,34,1.016,0
4,11,1893,79,45,0,0
4,12,1893,69,49,0,0
4,13,1893,46,40,0,0
4,14,1893,50,28,0,0
4,15,1893,62,28,0,0
4,16,1893,69,43,0,0
4,17,1893,74,44,2.032,0
4,18,1893,64,48,5.334,0
4,19,1893,55,35,12.192,0
4,20,1893,49,38,2.032,1
4,21,1893,52,34,0,0
4,22,1893,55,33,0,0
4,23,1893,59,30,0,0
4,24,1893,81,43,12.954,0
4,25,1893,60,46,1.524,0
4,26,1893,52,45,7.112,0
4,27,1893,65,35,0,0
4,28,1893,67,48,0,0
4,29,1893,45,40,25.908,0
4,30,1893,46,40,5.08,0
5,1,1893,55,38,0,0
5,2,1893,67,37,0.508,0
5,3,1893,69,45,1.016,0
5,4,1893,73,50,9.652,0
5,5,1893,59,46,0,0
5,6,1893,61,43,0,0
5,7,1893,54,47,0.508,0
5,8,1893,59,49,25.4,0
5,9,1893,71,48,0.762,0
5,10,1893,83,55,0,0
5,11,1893,73,59,17.272,0
5,12,1893,82,52,0,0
5,13,1893,86,51,0,0
5,14,1893,86,62,2.032,0
5,15,1893,67,52,0,0
5,16,1893,73,45,0,0
5,17,1893,81,51,0,0
5,18,1893,78,50,0,0
5,19,1893,86,65,0,0
5,20,1893,90,57,0,0
5,21,1893,83,56,0,0
5,22,1893,74,47,0,0
5,23,1893,73,42,0,0
5,24,1893,83,52,0,0
5,25,1893,52,45,14.224,0
5,26,1893,57,52,33.02,0
5,27,1893,66,49,0,0
5,28,1893,72,55,0,0
5,29,1893,85,54,0,0
5,30,1893,80,54,0,0
5,31,1893,65,58,12.446,0
6,1,1893,76,57,0,0
6,2,1893,79,55,0,0
6,3,1893,83,62,2.54,0
6,4,1893,71,58,30.988,0
6,5,1893,72,53,2.032,0
6,6,1893,81,53,0,0
6,7,1893,80,54,0,0
6,8,1893,81,59,0,0
6,9,1893,84,61,1.016,0
6,10,1893,85,72,0,0
6,11,1893,88,69,0,0
6,12,1893,92,67,0,0
6,13,1893,92,64,0,0
6,14,1893,91,65,0,0
6,15,1893,89,64,0,0
6,16,1893,85,64,10.668,0
6,17,1893,91,62,0,0
6,18,1893,92,61,0,0
6,19,1893,93,65,0,0
6,20,1893,92,63,0,0
6,21,1893,95,70,23.368,0
6,22,1893,85,53,0,0
6,23,1893,86,53,35.56,0
6,24,1893,86,64,0,0
6,25,1893,88,68,16.51,0
6,26,1893,85,64,2.54,0
6,27,1893,86,61,0,0
6,28,1893,88,62,0,0
6,29,1893,85,64,2.54,0
6,30,1893,82,62,30.988,0
7,1,1893,90,60,0,0
7,2,1893,89,65,0,0
7,3,1893,92,61,0,0
7,4,1893,89,63,50.8,0
7,5,1893,89,68,0,0
7,6,1893,94,73,0,0
7,7,1893,93,71,0,0
7,8,1893,88,73,0,0
7,9,1893,90,66,0,0
7,10,1893,91,60,0,0
7,11,1893,89,65,0,0
7,12,1893,90,65,0,0
7,13,1893,99,70,0,0
7,14,1893,98,78,0,0
7,15,1893,91,65,11.684,0
7,16,1893,95,73,20.828,0
7,17,1893,89,61,0,0
7,18,1893,83,65,17.78,0
7,19,1893,88,63,0,0
7,20,1893,88,60,0,0
7,21,1893,90,60,0,0
7,22,1893,94,66,0,0
7,23,1893,95,64,0,0
7,24,1893,93,65,0,0
7,25,1893,92,70,5.08,0
7,26,1893,91,67,21.844,0
7,27,1893,88,63,12.7,0
7,28,1893,94,63,0,0
7,29,1893,89,67,0,0
7,30,1893,87,63,0,0
7,31,1893,81,65,0,0
8,1,1893,86,54,0,0
8,2,1893,82,53,0,0
8,3,1893,89,58,0,0
8,4,1893,91,59,0,0
8,5,1893,95,63,0,0
8,6,1893,95,67,0,0
8,7,1893,95,70,0,0
8,8,1893,94,66,0,0
8,9,1893,92,67,0,0
8,10,1893,86,71,0,0
8,11,1893,79,61,30.988,0
8,12,1893,81,54,0,0
8,13,1893,84,61,0,0
8,14,1893,88,61,0,0
8,15,1893,84,67,50.8,0
8,16,1893,81,68,33.782,0
8,17,1893,87,58,0,0
8,18,1893,91,60,0,0
8,19,1893,91,61,0,0
8,20,1893,87,62,0,0
8,21,1893,87,61,0,0
8,22,1893,85,61,0,0
8,23,1893,94,63,0,0
8,24,1893,86,64,0.762,0
8,25,1893,85,56,0,0
8,26,1893,92,56,0,0
8,27,1893,75,65,3.81,0
8,28,1893,72,52,0,0
8,29,1893,74,47,0,0
8,30,1893,82,44,0,0
8,31,1893,84,50,0,0
9,1,1893,80,54,0,0
9,2,1893,83,47,0,0
9,3,1893,87,50,0,0
9,4,1893,95,62,0,0
9,5,1893,97,62,0,0
9,6,1893,93,63,0,0
9,7,1893,92,65,0,0
9,8,1893,92,61,0,0
9,9,1893,90,61,0,0
9,10,1893,85,57,0,0
9,11,1893,92,57,0,0
9,12,1893,90,61,0,0
9,13,1893,100,65,0,0
9,14,1893,93,60,0,0
9,15,1893,82,57,0,0
9,16,1893,81,45,0,0
9,17,1893,95,55,0,0
9,18,1893,92,72,0,0
9,19,1893,71,60,15.494,0
9,20,1893,90,65,32.766,0
9,21,1893,93,75,0,0
9,22,1893,78,58,0.762,0
9,23,1893,72,51,1.016,0
9,24,1893,66,49,0.508,0
9,25,1893,61,36,0,0
9,26,1893,69,44,0,0
9,27,1893,67,49,1.778,0
9,28,1893,68,48,0,0
9,29,1893,69,53,52.832,0
9,30,1893,84,63,0,0
10,1,1893,85,65,0,0
