MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1893,50,28,0,0
1,2,1893,52,30,0,0
1,3,1893,60,30,0,0
1,4,1893,62,43,0,0
1,5,1893,52,34,0,0
1,6,1893,58,28,0,0
1,7,1893,40,30,0,0
1,8,1893,60,24,0,0
1,9,1893,50,40,0,0
1,10,1893,44,28,0,0
1,11,1893,44,26,0,0
1,12,1893,42,24,0,0
1,13,1893,48,17,0,0
1,14,1893,40,16,0,0
1,15,1893,36,10,0,0
1,16,1893,38,16,0,0
1,17,1893,42,18,0,0
1,18,1893,44,20,0,0
1,19,1893,46,18,0,0
1,20,1893,56,26,0,0
1,21,1893,52,28,0,0
1,22,1893,60,34,0,0
1,23,1893,60,36,0,0
1,24,1893,62,40,0,0
1,25,1893,54,21,0,0.21
1,26,1893,20,10,0,0
1,27,1893,20,16,0,0.11
1,28,1893,26,18,0,0
1,29,1893,40,10,0,0
1,30,1893,34,18,0,0
1,31,1893,40,10,0,0.54
2,1,1893,0,-11,0,1.16
2,2,1893,30,-2,0,0
2,3,1893,30,10,0,0
2,4,1893,40,12,0,0
2,5,1893,54,10,0,0
2,6,1893,20,0,0,0
2,7,1893,38,0,0,0
2,8,1893,48,20,0,0
2,9,1893,52,20,0,0
2,10,1893,52,15,0,0
2,11,1893,48,12,0,0
2,12,1893,54,10,0,0
2,13,1893,49,10,0,3.54
2,14,1893,20,8,0,0.16
2,15,1893,46,14,0,0
2,16,1893,38,8,0,0
2,17,1893,39,12,0,0
2,18,1893,56,16,0,0
2,19,1893,60,16,0,0
2,20,1893,52,12,0,0
2,21,1893,56,13,0,0
2,22,1893,64,20,0,0
2,23,1893,54,18,0,0
2,24,1893,40,20,0,0
2,25,1893,32,10,0,0.11
2,26,1893,48,17,0,0.32
2,27,1893,40,6,0,5.59
2,28,1893,40,12,0,0
3,1,1893,64,14,0,0
3,2,1893,60,25,0,0.11
3,3,1893,54,22,0,1.88
3,4,1893,50,0,0,0
3,5,1893,48,28,0,0
3,6,1893,58,19,0,0
3,7,1893,48,38,0,0
3,8,1893,50,36,0,0
3,9,1893,68,38,0,0
3,10,1893,56,38,0,0
3,11,1893,58,36,0,0
3,12,1893,40,34,0,0
3,13,1893,42,29,0,0
3,14,1893,38,16,0,0
3,15,1893,40,9,0,0.11
3,16,1893,34,22,0,1.42
3,17,1893,36,16,0,0
3,18,1893,60,16,0,0
3,19,1893,54,22,0,0
3,20,1893,60,38,0,0
3,21,1893,58,38,0,0
3,22,1893,43,32,0,0
3,23,1893,33,32,0,0
3,24,1893,44,24,0,0
3,25,1893,54,22,0,0
3,26,1893,58,26,0,0
3,27,1893,50,48,0,0
3,28,1893,63,32,0,0
3,29,1893,86,40,0,0
3,30,1893,88,52,0,0
3,31,1893,82,50,0,0
4,1,1893,82,37,0,0
4,2,1893,84,46,0,0
4,3,1893,86,47,0,0
4,4,1893,92,50,0,0
4,5,1893,94,48,0,0
4,6,1893,80,50,0,0
4,7,1893,84,52,0,0
4,8,1893,59,36,0,0
4,9,1893,64,38,0,0
4,10,1893,65,44,0,0
4,11,1893,68,60,0,0
4,12,1893,50,46,0,0
4,13,1893,50,40,0,0
4,14,1893,60,34,0,0
4,15,1893,65,46,0,0
4,16,1893,67,42,0,0
4,17,1893,70,44,0,0
4,18,1893,76,55,0,0
4,19,1893,62,40,0,0
4,20,1893,64,40,0,0
4,21,1893,54,35,0,0
4,22,1893,64,45,0,0
4,23,1893,60,50,0,0
4,24,1893,82,58,0,0
4,25,1893,43,42,0,0
4,26,1893,53,42,0,0
4,27,1893,62,40,0,0
4,28,1893,60,42,0,0
4,29,1893,38,32,1.016,0
4,30,1893,41,30,0,0.5
5,1,1893,60,38,0,0
5,2,1893,68,44,0,0
5,3,1893,74,45,0,0
5,4,1893,72,50,0,0
5,5,1893,66,42,0,0
5,6,1893,50,40,0,0
5,7,1893,50,42,0,0
5,8,1893,62,45,0,0
5,9,1893,75,50,0,0
5,10,1893,82,58,0,0
5,11,1893,84,58,0,0
5,12,1893,85,62,0,0
5,13,1893,82,64,0,0
5,14,1893,81,57,0,0
5,15,1893,75,58,0,0
5,16,1893,70,58,0,0
5,17,1893,82,59,0,0
5,18,1893,90,62,0,0
5,19,1893,86,60,0,0
5,20,1893,88,58,0,0
5,21,1893,95,68,0,0
5,22,1893,63,48,5.08,0
5,23,1893,74,50,0,0
5,24,1893,72,52,0,0
