MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1892,44.59,16.41,3.302,0
1,2,1892,41.41,18.01,0,0
1,3,1892,51.5,20.56,0,0
1,4,1892,44.91,29.04,0,0
1,5,1892,46.82,23.33,4.572,3.36
1,6,1892,33.41,13.13,0,0
1,7,1892,45,13.78,0,0
1,8,1892,35.52,18.51,0,1
1,9,1892,26.56,12.48,0,3
1,10,1892,22.61,14.17,4.572,3
1,11,1892,12.15,-1.23,0,0
1,12,1892,15.75,-13.45,0,0
1,13,1892,21.92,-6.88,0,0
1,14,1892,30.65,-3.58,0,0
1,15,1892,37.12,1.83,0,0
1,16,1892,42.14,4.96,0,0
1,17,1892,27.5,-0.47,3.302,3
1,18,1892,0.75,-5.88,0,0
1,19,1892,13.48,-20.02,0,0
1,20,1892,24.28,2.1,0,0
1,21,1892,37.09,8.99,0,0
1,22,1892,45.22,19.95,0,0
1,23,1892,54.17,21.7,0,0
1,24,1892,58.43,28.56,0,0
1,25,1892,51.31,27.14,0,0
1,26,1892,42.82,22.82,0,0
1,27,1892,51.34,20.7,0,0
1,28,1892,61.25,27.32,0,0
1,29,1892,61.4,30.21,0,0
1,30,1892,61.64,24.1,0,0
1,31,1892,63.52,45.14,0,0
2,1,1892,51.91,32.83,0,0
2,2,1892,47.96,26.27,0,0
2,3,1892,54.44,24.26,9.144,1.29
2,4,1892,47.16,36.52,7.112,0
2,5,1892,38.95,27.83,14.224,8
2,6,1892,41.14,32.61,20.066,0
2,7,1892,35.87,21.05,0,0
2,8,1892,34.14,15.39,0,0
2,9,1892,40.16,15.69,0,0
2,10,1892,49.65,26.96,0,0
2,11,1892,40.93,19.65,0,0
2,12,1892,60.31,23.77,0,0
2,13,1892,62.01,33.68,0,0
2,14,1892,42.32,17.62,0,0
2,15,1892,40.88,16.12,0,0
2,16,1892,50.53,24.17,0,0
2,17,1892,63.31,29.61,0,0
2,18,1892,45.24,24.54,0,0
2,19,1892,29.19,23.45,0,0
2,20,1892,38.88,27.75,0,0
2,21,1892,42.69,33.83,0,0
2,22,1892,55.69,39.48,0,0
2,23,1892,54.88,39.03,0,0
2,24,1892,50.78,33.08,7.112,0
2,25,1892,55.13,27.9,0,0
2,26,1892,58.01,29.47,6.096,0
2,27,1892,47.73,40.31,6.858,0.26
2,28,1892,45.03,29.04,0,0
2,29,1892,41.3,22.73,0,0
3,1,1892,44.71,27.65,0,0
3,2,1892,65.11,29.21,0,0
3,3,1892,68.19,43.84,0,0
3,4,1892,54.53,41.87,0,0
3,5,1892,42.91,37.49,24.892,6
3,6,1892,40.12,33.43,10.922,0
3,7,1892,47.39,31.22,0,0
3,8,1892,63.61,27.39,0,0
3,9,1892,49.23,30.94,0,0
3,10,1892,46.37,22.92,0,0
3,11,1892,61.78,19.45,0,0
3,12,1892,72.18,34,0,0
3,13,1892,49.05,31.87,0,0
3,14,1892,31.41,20.56,4.826,1
3,15,1892,30.31,18.87,0,2
3,16,1892,26.69,18.78,3.048,1
3,17,1892,28.86,8.97,0,0
3,18,1892,31.07,8.57,0,0
3,19,1892,34.84,17.26,0,0
3,20,1892,28.21,22.92,0,1.1
3,21,1892,34.52,22.92,0,0.8
3,22,1892,39,20.57,0,0
3,23,1892,56.75,23.04,0,0
3,24,1892,52.39,26.37,0,0
3,25,1892,62.61,43.87,0,0
3,26,1892,53.69,36.91,8.89,0
3,27,1892,60.44,40.3,0,0
3,28,1892,66.83,41.84,0,0
3,29,1892,60.69,46.64,0,0
3,30,1892,68.96,49.17,0,0
3,31,1892,76.78,49.51,4.826,0
4,1,1892,69.04,45.45,0,0
4,2,1892,66.44,42.97,0,0
4,3,1892,78.08,51.36,0,0
4,4,1892,63.19,45.3,0,0
4,5,1892,59.05,35,0,0
4,6,1892,71.48,47.27,0,0
4,7,1892,72.4,41.93,0,0
4,8,1892,56.49,33.48,0,0
4,9,1892,56,24.53,0,0
4,10,1892,58.09,36.18,0,0
4,11,1892,61.93,35.86,0,0
4,12,1892,55.07,43,18.034,0
4,13,1892,56.13,43.47,0,0
4,14,1892,57.6,36.21,3.048,0
4,15,1892,67.94,36.75,0,0
4,16,1892,84.35,50.11,0,0
4,17,1892,82.39,55.78,0,0
4,18,1892,66.65,46.74,0,0
4,19,1892,47.78,42.83,9.144,0
4,20,1892,55.43,43.14,3.302,0
4,21,1892,48.95,36.63,0,0.16
4,22,1892,62.4,33.23,0,0
4,23,1892,66.01,38.03,2.54,0
4,24,1892,68.98,48.09,0,0
4,25,1892,71.54,48.1,0,0
4,26,1892,79.43,57.17,0,0
4,27,1892,74.82,58.77,0,0
4,28,1892,64.42,45.77,0,0
4,29,1892,70.57,36.18,0,0
4,30,1892,82.82,57.42,0,0
5,1,1892,81.37,55.54,0,0
5,2,1892,75,53.58,0,0
5,3,1892,66.15,51.32,0,0
5,4,1892,62.61,45.18,14.224,0
5,5,1892,70.87,54.56,0,0
5,6,1892,68.92,41.61,0,0
5,7,1892,64.73,50.78,17.018,0
5,8,1892,57.2,48.78,27.94,0
5,9,1892,51.22,45.57,9.652,0
5,10,1892,56.38,38.52,0,0
5,11,1892,64.31,37.93,3.556,0
5,12,1892,65.01,45.45,11.43,0
5,13,1892,70.26,52.05,3.81,0
5,14,1892,66.15,55.61,0,0
5,15,1892,71.18,43.66,0,0
5,16,1892,77.87,53.31,8.89,0
5,17,1892,72.26,57.56,15.24,0
5,18,1892,70.65,47.91,0,0
5,19,1892,72.12,47.39,0,0
5,20,1892,63.63,41.46,0,0
5,21,1892,54.45,44.7,0,0
5,22,1892,68.12,45.43,0,0
5,23,1892,75.8,54.43,0,0
5,24,1892,83.97,56.06,0,0
5,25,1892,81.08,53.86,2.794,0
5,26,1892,78.99,54.1,0,0
5,27,1892,77.31,60.09,3.302,0
5,28,1892,80.69,54.57,4.318,0
5,29,1892,84.71,56.39,0,0
5,30,1892,81.04,54.61,14.478,0
5,31,1892,63.9,50.66,14.478,0
6,1,1892,57,42,0,0
6,2,1892,80,48,0,0
6,3,1892,83,62,0,0
6,4,1892,88,61,7.62,0
6,5,1892,72,59,0,0
6,6,1892,80,60,0,0
6,7,1892,84,66,0,0
6,8,1892,88,60,0,0
6,9,1892,92,61,0,0
6,10,1892,98,63,0,0
6,11,1892,85,58,0,0
6,12,1892,89,66,2.54,0
6,13,1892,85,56,0,0
6,14,1892,87,66,5.08,0
6,15,1892,88,50,8.382,0
6,16,1892,87,49,5.08,0
6,17,1892,87,40,0,0
6,18,1892,85,47,0,0
6,19,1892,90,50,0,0
6,20,1892,92,50,0,0
6,21,1892,92,50,0,0
6,22,1892,97,49,0,0
6,23,1892,95,40,0,0
6,24,1892,72,40,0,0
6,25,1892,85,46,0,0
6,26,1892,92,33,0,0
6,27,1892,85,40,0,0
6,28,1892,90,42,0,0
6,29,1892,95,40,0,0
6,30,1892,80,57,0,0
7,1,1892,85.85,53.9,2.54,0
7,2,1892,85.85,64.99,9.652,0
7,3,1892,79.18,60.52,0,0
7,4,1892,81.47,58.66,0,0
7,5,1892,81.48,51.74,0,0
7,6,1892,82.48,55.82,0,0
7,7,1892,85.31,59.62,0,0
7,8,1892,85.99,60.7,0,0
7,9,1892,86.73,56.49,0,0
7,10,1892,89.66,61.96,0,0
7,11,1892,94.32,62.32,0,0
7,12,1892,99.66,69.83,0,0
7,13,1892,94.74,72.92,0,0
7,14,1892,97.84,74.22,0,0
7,15,1892,87.13,69.08,0,0
7,16,1892,78.58,63.13,5.588,0
7,17,1892,84.9,64.04,28.956,0
7,18,1892,92.44,67.36,8.128,0
7,19,1892,95.88,72.35,0,0
7,20,1892,98.23,70.96,0,0
7,21,1892,101.15,71.87,0,0
7,22,1892,97.97,70.51,0,0
7,23,1892,98.06,74.19,0,0
7,24,1892,97.58,72.66,0,0
7,25,1892,98.89,71.87,0,0
7,26,1892,99.57,71.05,0,0
7,27,1892,97.39,70.96,6.096,0
7,28,1892,84.19,64,14.732,0
7,29,1892,81.51,56.44,0,0
7,30,1892,89.77,60.13,0,0
7,31,1892,89.83,63.22,3.302,0
8,1,1892,90,48,0,0
8,2,1892,92,54,0,0
8,3,1892,98,60,0,0
8,4,1892,103,56,0,0
8,5,1892,101,54,0,0
8,6,1892,100,58,0,0
8,7,1892,100,52,15.24,0
8,8,1892,101,54,0,0
8,9,1892,95,55,27.432,0
8,10,1892,86,46,0,0
8,11,1892,89,56,0,0
8,12,1892,90,55,0,0
8,13,1892,95,54,0,0
8,14,1892,100,53,0,0
8,15,1892,96,55,0,0
8,16,1892,94,52,0,0
8,17,1892,95,58,0,0
8,18,1892,82,52,0,0
8,19,1892,85,37,0,0
8,20,1892,79.57,47,13.97,0
8,21,1892,81,52,19.05,0
8,22,1892,82,55,38.1,0
8,23,1892,76,36,5.08,0
8,24,1892,84,52,0,0
8,25,1892,81,43,5.08,0
8,26,1892,82,41,0,0
8,27,1892,82,48,0,0
8,28,1892,82,51,5.08,0
8,29,1892,72,40,0,0
8,30,1892,82,48,0,0
8,31,1892,83,49,0,0
9,1,1892,86,37,0,0
9,2,1892,84,55,0,0
9,3,1892,84,61,5.08,0
9,4,1892,71,61,0,0
9,5,1892,81,54,0,0
9,6,1892,89,61,0,0
9,7,1892,93,61,0,0
9,8,1892,72,59,5.08,0
9,9,1892,84,50,0,0
9,10,1892,72,50,0,0
9,11,1892,79.87,59,0,0
9,12,1892,81,51,0,0
9,13,1892,78,56,0,0
9,14,1892,84,54,0,0
9,15,1892,83,58,0,0
9,16,1892,84,43,0,0
9,17,1892,93,53,0,0
9,18,1892,87,66,0,0
9,19,1892,90,53,0,0
9,20,1892,89,59,0,0
9,21,1892,96,54,0,0
9,22,1892,93,51,0,0
9,23,1892,98,68,0,0
9,24,1892,93,52,0,0
9,25,1892,98,47,0,0
9,26,1892,85,42,0,0
9,27,1892,98,55,0,0
9,28,1892,88,58,0,0
9,29,1892,88,50,0,0
9,30,1892,89,51,0,0
10,1,1892,90,51,0,0
10,2,1892,89,62,0,0
10,3,1892,84,54,0,0
10,4,1892,82,78,0,0
10,5,1892,88,76,0,0
10,6,1892,91,74,0,0
10,7,1892,82,61,0,0
10,8,1892,73,34,0,0
10,9,1892,79,52,0,0
10,10,1892,85,47,0,0
10,11,1892,80,50,0,0
10,12,1892,69,54,8.128,0
10,13,1892,69,54,0,0
10,14,1892,78,38,0,0
10,15,1892,82,56,0,0
10,16,1892,79,51,0,0
10,17,1892,70,56,0,0
10,18,1892,67,32,5.08,0
10,19,1892,68,29,0,0
10,20,1892,57,44,0,0
10,21,1892,58,40,0,0
10,22,1892,57,35,0,0
10,23,1892,52,40,0,0
10,24,1892,64,35,0,0
10,25,1892,62,32,0,0
10,26,1892,68,35,0,0
10,27,1892,65,34,0,0
10,28,1892,73,37,0,0
10,29,1892,49,30,0,0
10,30,1892,55,37,0,0
10,31,1892,55,43,0,0
11,1,1892,45,38,0,0
11,2,1892,43,35,0,0
11,3,1892,60,22,0,0
11,4,1892,62,35,0,0
11,5,1892,73,31,0,0
11,6,1892,58,37,0,0
11,7,1892,50,21,6.35,0
11,8,1892,50,20,0,0
11,9,1892,48,30,0,0
11,10,1892,60,20,0,0
11,11,1892,68,35,0,0
11,12,1892,59,39,0,0
11,13,1892,58,38,0,0
11,14,1892,60,34,0,0
11,15,1892,57,30,0,0
