MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1892,36,22,0.508,0
1,2,1892,40,14,0,0
1,3,1892,54,14,0,0
1,4,1892,44,31,0,0
1,5,1892,40,29,0,6.5
1,6,1892,29,15,0,0
1,7,1892,42,16,0,0
1,8,1892,36,15,0,1
1,9,1892,22,14,0,3
1,10,1892,20,12,4.572,3
1,11,1892,12,-8,0,0
1,12,1892,16,-14,0,0
1,13,1892,18,-10,0,0
1,14,1892,28,-2,0,0
1,15,1892,18,-2,0,0
1,16,1892,38,2,3.81,0
1,17,1892,28,0,0,3
1,18,1892,0,-10,0,0
1,19,1892,10,-20,0,0
1,20,1892,26,14,1.27,0
1,21,1892,34,8,0,0
1,22,1892,40,20,0,0
1,23,1892,50,20,0,0
1,24,1892,54,24,0,0
1,25,1892,48,30,0,0
1,26,1892,38,20,0,0
1,27,1892,48,20,0,0
1,28,1892,52,25,0,0
1,29,1892,55,26,0,0
1,30,1892,54,28,0,0
1,31,1892,58,46,0,0
2,1,1892,42,30,0,0
2,2,1892,44,28,0,0
2,3,1892,50,26,0,2.5
2,4,1892,40,32,27.94,0
2,5,1892,36,28,0,8
2,6,1892,35,34,10.16,0
2,7,1892,34,16,0,0
2,8,1892,30,12,0,0
2,9,1892,34,10,0,0
2,10,1892,44,24,0,0
2,11,1892,38,20,0,0
2,12,1892,50,24,0,0
2,13,1892,54,30,0,0
2,14,1892,30,18,0,0
2,15,1892,36,16,0,0
2,16,1892,48,23,0,0
2,17,1892,54,28,0,0
2,18,1892,32,20,0,0
2,19,1892,30,22,0,0
2,20,1892,38,30,0,0
2,21,1892,44,34,0,0
2,22,1892,56,38,0,0
2,23,1892,50,42,0,0
2,24,1892,48,35,0,0
2,25,1892,44,30,0,0
2,26,1892,55,28,0,0
2,27,1892,47,40,12.7,0.5
2,28,1892,40,26,0,0
2,29,1892,36,24,0,0
3,1,1892,40,30,0,0
3,2,1892,60,32,0,0
3,3,1892,62,44,0,0
3,4,1892,42,38,0,0
3,5,1892,36,34,35.56,6
3,6,1892,35.23,33.08,5.08,0
3,7,1892,46,31,0,0
3,8,1892,58,32,0,0
3,9,1892,38,29,0,0
3,10,1892,34,18,0,0
3,11,1892,56,26,0,0
3,12,1892,64,34,0,0
3,13,1892,42,31,0,0
3,14,1892,28.5,24.05,5.08,1
3,15,1892,30,25,0,2
3,16,1892,24,18,1.27,1
3,17,1892,24,14,0,0
3,18,1892,36,10,0,0
3,19,1892,29,23,0,0
3,20,1892,25,24,0,1.1
3,21,1892,30,24,0,0.8
3,22,1892,38,18,0,0
3,23,1892,54,25,0,0
3,24,1892,56,32,2.54,0
3,25,1892,60,43,44.45,0
3,26,1892,40,39,0,0
3,27,1892,58,33,0,0
3,28,1892,64,36,0,0
3,29,1892,50,46,12.7,0
3,30,1892,62,41,0,0
3,31,1892,72,52,2.54,0
4,1,1892,48,46,2.54,0
4,2,1892,60,32,0,0
4,3,1892,70,52,0,0
4,4,1892,64,40,0,0
4,5,1892,54,40,0,0
