MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1900,22,10,0,0
1,2,1900,32,7,0,0
1,3,1900,46,12,0,0
1,4,1900,50,32,0,0
1,5,1900,45,38,1.524,0
1,6,1900,49,39,0,0
1,7,1900,56,42,0,0
1,8,1900,53,41,0,0
1,9,1900,56,42,3.048,0
1,10,1900,40,29,0,0
1,11,1900,48,46,0,0
1,12,1900,52.69,27,0,0
1,13,1900,61,27,0,0
1,14,1900,60,29,0,0
1,15,1900,60,31,0,0
1,16,1900,40,35,0,0
1,17,1900,40,34,0,0
1,18,1900,37,33,0,0
1,19,1900,46,32,0,0
1,20,1900,56,20,0,0
1,21,1900,54,22,0,0
1,22,1900,57,28,0,0
1,23,1900,62,26,0,0
1,24,1900,59,35,0,0
1,25,1900,35,13,0,0
1,26,1900,45,12,0,0
1,27,1900,40,23,0,0
1,28,1900,23.18,3,0,0
1,29,1900,44,2,0,0
1,30,1900,34,15,0,0
1,31,1900,19,0,0,0
2,1,1900,49,3,0,0
2,2,1900,44,17,0,0
2,3,1900,59,23,0,0
2,4,1900,40,20,0,0
2,5,1900,58,28,0,0
2,6,1900,47,15,0,0
2,7,1900,48,27,8.89,0
2,8,1900,25.5,6,9.144,1.5
2,9,1900,30,-1,0,0
2,10,1900,39,7,0,0
2,11,1900,50,26,0,0
2,12,1900,45,25,3.81,1.5
2,13,1900,28,1,0,0
2,14,1900,22,15,0,0
2,15,1900,15.51,4,3.81,1.5
2,16,1900,7,3,1.27,0.5
2,17,1900,16,-4,0,0
2,18,1900,38,5,0,0
2,19,1900,46,25,0,0
2,20,1900,49,33,0.762,0
2,21,1900,35,26,4.826,1.5
2,22,1900,49,18,0,0
2,23,1900,38,24,1.27,0.5
2,24,1900,26,7,0,0
2,25,1900,33,10,0,0
2,26,1900,32,14,0,0
2,27,1900,27,22,0,7
2,28,1900,29,15,39.37,3
3,1,1900,35,1,0,0
3,2,1900,38,22,0,0
3,3,1900,46,11,0,0
3,4,1900,43,34,0,0
3,5,1900,38,34,17.018,0
3,6,1900,33,18,0,0
3,7,1900,48,21,0,0
3,8,1900,59,28,0,0
3,9,1900,58,36,0,0
3,10,1900,73,30,0,0
3,11,1900,78,35,0,0
3,12,1900,79,36,0,0
3,13,1900,61,39,0,0
3,14,1900,49,35,0,0
3,15,1900,29.95,11,0.508,0.2
3,16,1900,19,9,0.254,0.1
3,17,1900,51,11,0,0
3,18,1900,67,38,0,0
3,19,1900,55,40,3.81,0
3,20,1900,40.11,25,0,0
3,21,1900,53,15,0,0
3,22,1900,66,33,0,0
3,23,1900,57,43,4.572,0
3,24,1900,63,45,0,0
3,25,1900,59,42,1.524,0
3,26,1900,75,31,0,0
3,27,1900,77,47,0,0
3,28,1900,65,42,0,0
3,29,1900,53,29,0,0
3,30,1900,52,31,0,0
3,31,1900,64,22,0,0
4,1,1900,69,35,0,0
4,2,1900,73,31,0,0
4,3,1900,53,42,0,0
4,4,1900,50,38,0,0
4,5,1900,50,31,0,0
4,6,1900,64,32,0,0
4,7,1900,62,56,0,0
4,8,1900,55,54,0.254,0
4,9,1900,66.9,45,0,0
4,10,1900,56.05,35,35.814,0
4,11,1900,46,31,2.54,0
4,12,1900,46,28,0,0
4,13,1900,64,28,0,0
4,14,1900,72,43,0,0
4,15,1900,56,54,48.768,0
4,16,1900,57,53,1.524,0
4,17,1900,58,50,15.748,0
4,18,1900,66,44,0,0
4,19,1900,74,40,0,0
4,20,1900,71,51,0,0
4,21,1900,70,52,0,0
4,22,1900,70,45,14.224,0
4,23,1900,73,56,18.034,0
4,24,1900,83,56,3.302,0
4,25,1900,64,54,0.508,0
4,26,1900,84,56,0,0
4,27,1900,83,56,0.762,0
4,28,1900,77,60,7.62,0
4,29,1900,81,56,2.286,0
4,30,1900,71,50,0,0
5,1,1900,78,48,0.762,0
5,2,1900,74,52,0,0
5,3,1900,61,38,0,0
5,4,1900,87,40,16.256,0
5,5,1900,82,50,0,0
5,6,1900,85,67,0,0
5,7,1900,76,59,13.208,0
5,8,1900,79,57,0,0
5,9,1900,71,53,0,0
5,10,1900,78,40,0,0
5,11,1900,84,56,0,0
5,12,1900,85,59,0,0
5,13,1900,87,65,0,0
5,14,1900,85,66,0,0
5,15,1900,77,58,6.35,0
5,16,1900,61,54,30.48,0
5,17,1900,64,56,10.16,0
5,18,1900,63,54,1.016,0
5,19,1900,59,46,0,0
5,20,1900,71,45,0,0
5,21,1900,77,45,0,0
5,22,1900,71,57,0,0
5,23,1900,81,52,0,0
5,24,1900,86,59,0,0
5,25,1900,88,57,0,0
5,26,1900,83,63,17.78,0
5,27,1900,80,61,7.62,0
5,28,1900,84,60,0,0
5,29,1900,84,61,0,0
5,30,1900,87,64,0,0
5,31,1900,83,63,0,0
6,1,1900,84,64,0,0
6,2,1900,77,60,0,0
6,3,1900,82,50,0,0
