MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1893,56,27,0,0
1,2,1893,55,21,0,0
1,3,1893,61,31,0,0
1,4,1893,69,42,0,0
1,5,1893,62,29,0,0
1,6,1893,36,33,0,0
1,7,1893,55,36,0,0
1,8,1893,63,13,0,0
1,9,1893,55,34,0,0
1,10,1893,56,30,0,0
1,11,1893,57,27,0,0
1,12,1893,45,29,0,0
1,13,1893,48,27,0,0
1,14,1893,34,15,0,0
1,15,1893,54,18,0,0
1,16,1893,40,14,0,0
1,17,1893,40,22,0,0
1,18,1893,56,-2,0,0
1,19,1893,48,8,0,0
1,20,1893,45,15,0,0
1,21,1893,51,14,0,0
1,22,1893,59,15,0,0
1,23,1893,59,33,0,0
1,24,1893,63,20,0,0
1,25,1893,64,13,0,0.3
1,26,1893,53,5,1.27,0
1,27,1893,59,10,0,0.2
1,28,1893,60,12,0,0
1,29,1893,35,-3,0,0
1,30,1893,46,10,0,0
1,31,1893,70,27,0,1
2,1,1893,61,-8,0,2.67
2,2,1893,57,-9,0,0
2,3,1893,50,3,0,0
2,4,1893,51,18,0,0
2,5,1893,71,25,0,0
2,6,1893,49,-2,0,0
2,7,1893,37,-2,0,0
2,8,1893,45,10,0,0
2,9,1893,55,28,0,0
2,10,1893,57,24,5.08,0
2,11,1893,51,20,0,0
2,12,1893,54,10,0,0
2,13,1893,59,27,0,3.06
2,14,1893,51,4,0,0.16
2,15,1893,54,5,0,0
2,16,1893,50,20,0,0
2,17,1893,62,13,0,0
2,18,1893,59,15,0,0
2,19,1893,59,16,0,0
2,20,1893,57,12,0,0
2,21,1893,58,21,0,0
2,22,1893,68,28,0,0
2,23,1893,63,23,0,0
2,24,1893,49,19,0,0
2,25,1893,53,7,0,0.11
2,26,1893,54,19,0,0.32
2,27,1893,55,14,0,0
2,28,1893,50,3,0,0
3,1,1893,56,7,0,0
3,2,1893,64,28,0,0.11
3,3,1893,48,14,0,0.5
3,4,1893,44,-6,0,0
3,5,1893,42,12,0,0
3,6,1893,63,13,0,0
3,7,1893,67,34,0,0
3,8,1893,57,44,2.54,0
3,9,1893,71,31,0,0
3,10,1893,69,41,0,0
3,11,1893,59,14,0,0
3,12,1893,74,48,0,0
3,13,1893,68,31,0,0
3,14,1893,65,10,0,0
3,15,1893,47,7,0,0.11
3,16,1893,49,24,0,0.97
3,17,1893,42,15,0,0
3,18,1893,63,21,0,0
3,19,1893,62,17,0,0
3,20,1893,64,25,0,0
3,21,1893,70,32,0,0
3,22,1893,69,40,0,0
3,23,1893,69,53,0,0
3,24,1893,73,15,0,0
3,25,1893,57,9,0,0
3,26,1893,67,14,0,0
3,27,1893,65,22,0,0
3,28,1893,65,27,0,0
3,29,1893,85,41,0,0
3,30,1893,89,45,0,0
3,31,1893,85,53,0,0
4,1,1893,67,22,0,0
4,2,1893,86,33,0,0
4,3,1893,89,46,0,0
4,4,1893,93,27,0,0
4,5,1893,91,45,0,0
4,6,1893,95,31.35,0,0
4,7,1893,87,61,0,0
4,8,1893,70,21,0,0
4,9,1893,74,15,0,0
4,10,1893,70,21,0,0
4,11,1893,73,39,0,0
4,12,1893,70,55,0,0
