MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1903,42.69,17.53,0,0.18
1,2,1903,39.16,17.7,0,0.18
1,3,1903,44.5,16.03,0,0
1,4,1903,42.8,20.45,0,0
1,5,1903,44.55,25.88,0,0
1,6,1903,57.07,26.29,0,0
1,7,1903,55.52,24.12,0,0
1,8,1903,42.38,17.95,0,0
1,9,1903,34.5,11.97,0,0
1,10,1903,29.7,13.86,0,0
1,11,1903,28.96,4.5,0,0.22
1,12,1903,33.93,1.28,0,0
1,13,1903,44.73,20.17,0,0
1,14,1903,46.75,20.29,0,0
1,15,1903,50.68,19.64,0,0
1,16,1903,50.35,28.42,0,0
1,17,1903,44.66,18.95,0,0
1,18,1903,43.82,12.08,0,0
1,19,1903,46.89,15.81,0,0
1,20,1903,44.86,18.95,0,0
1,21,1903,45.03,13.58,0,0
1,22,1903,50.06,21.35,0,1.13
1,23,1903,35.78,17.36,2.794,1.14
1,24,1903,43.37,14.05,0,0
1,25,1903,56.8,23.56,0,0
1,26,1903,51.22,30.14,0,0
1,27,1903,47.32,22.82,0,0
1,28,1903,53.61,26.83,0,0
1,29,1903,49.35,22.42,0,0
1,30,1903,46.35,17.2,0,0
1,31,1903,53.44,27.33,0,0
2,1,1903,61.63,24.88,0,0
2,2,1903,49.13,18.32,0,0
2,3,1903,33.87,15.27,8.128,1.84
2,4,1903,27.57,7.35,0,2.14
2,5,1903,36.7,5.63,0,0
2,6,1903,37.21,12.32,2.794,1.07
2,7,1903,31.2,18.53,6.604,2.52
2,8,1903,43.99,6.98,0,0
2,9,1903,40.48,11.83,0,0
2,10,1903,48,23,0,0
2,11,1903,53.67,23.18,0,0
2,12,1903,43.36,18.95,0,0
2,13,1903,23.79,12.5,0,0.44
2,14,1903,24.58,12.63,0,0
2,15,1903,23.42,3.99,8.636,3.41
2,16,1903,13.15,-15.43,0,0
2,17,1903,28.22,-6.72,0,0
2,18,1903,28.86,2.87,0,0
2,19,1903,29.56,0.31,0,0
2,20,1903,49.95,12.47,0,0
2,21,1903,48.12,19.2,0,0
2,22,1903,52.96,24.48,0,0
2,23,1903,49.75,27.64,0,0
2,24,1903,36.68,24.92,9.906,3.91
2,25,1903,32.46,25.59,10.414,2.41
2,26,1903,33.64,27.91,20.32,6.19
2,27,1903,39.04,26.73,12.954,4.83
2,28,1903,33.2,12.74,0,0
3,1,1903,28.8,0.73,0,0
3,2,1903,33.54,9.52,0,0
3,3,1903,33.98,13.37,0,0
3,4,1903,38.31,26.39,0,0
3,5,1903,36.29,30.49,0,0
3,6,1903,43.92,32.27,0,0
3,7,1903,46.42,30.6,0,0
3,8,1903,48.57,17.76,0,0
3,9,1903,53,29.59,0,0
3,10,1903,52.31,28.1,0,0
3,11,1903,60.85,30.26,0,0
3,12,1903,70.99,33.13,0,0
3,13,1903,72.1,33.78,0,0
3,14,1903,55.93,29.7,0,0
3,15,1903,57.32,35.05,0,0
3,16,1903,71.64,42.63,0,0
3,17,1903,72.56,49.57,0,0
3,18,1903,73.8,48.91,4.826,0
3,19,1903,59.18,32.48,0,0
3,20,1903,44.99,19.02,0,0
3,21,1903,57.92,21.78,0,0
3,22,1903,52.61,30.58,0,0
3,23,1903,40.63,22.49,6.096,0
3,24,1903,53.39,16.19,0,0
3,25,1903,66.66,27.08,0,0
3,26,1903,64.24,38.57,2.794,0
3,27,1903,49.57,27.41,0,0.23
3,28,1903,50.3,22.76,0,0
3,29,1903,57.91,29.14,0,0
3,30,1903,66.89,35.59,0,0
3,31,1903,76.76,36.78,0,0
4,1,1903,83.11,44.55,0,0
4,2,1903,77.33,44.75,0,0
4,3,1903,54.97,30.28,9.652,0.4
4,4,1903,64.5,32.08,0,0
4,5,1903,75.12,40.2,0,0
4,6,1903,73.92,40.04,0,0
4,7,1903,72.12,33.63,0,0
4,8,1903,77.11,34.83,0,0
4,9,1903,76.49,37.23,0,0
4,10,1903,83,45.64,0,0
4,11,1903,81.25,45.87,0,0
4,12,1903,67.74,43.75,0,0
4,13,1903,51.96,36.2,5.08,0
4,14,1903,60.21,27.68,0,0
4,15,1903,62.4,25.04,0,0
4,16,1903,67.16,29.59,0,0
4,17,1903,72.94,36.89,0,0
4,18,1903,75.97,44.02,0,0
4,19,1903,68.87,44.82,0,0
4,20,1903,66.3,44.09,0,0
4,21,1903,71.16,36.36,0,0
4,22,1903,72.58,35.91,0,0
4,23,1903,81.91,41.66,0,0
4,24,1903,78.3,47.03,0,0
4,25,1903,65.69,34.09,0,0
4,26,1903,70.15,34.05,0,0
4,27,1903,75.4,47.75,0,0
4,28,1903,76.35,50.93,9.652,0
4,29,1903,61.25,35.49,35.56,0.75
4,30,1903,45.64,23.48,4.572,0
5,1,1903,62.78,29.49,0,0
5,2,1903,64.05,40.84,0,0
5,3,1903,63.26,30.3,0,0
5,4,1903,73.39,39.93,0,0
5,5,1903,73.48,50.1,0,0
5,6,1903,66.56,48.57,19.558,0
5,7,1903,60.8,49.83,8.382,0
5,8,1903,68.21,49.84,3.81,0
5,9,1903,74.08,49.35,0,0
5,10,1903,72.93,53.57,2.54,0
5,11,1903,66.41,50.94,20.828,0
5,12,1903,57.51,44.61,4.826,0
5,13,1903,62.91,48.01,2.794,0
5,14,1903,68.8,50.81,0,0
5,15,1903,73.42,49.29,0,0
5,16,1903,76.25,55.61,0,0
5,17,1903,79.44,59.71,3.048,0
5,18,1903,80.31,62.86,4.318,0
5,19,1903,80.35,39.91,0,0
5,20,1903,83.98,54.01,3.302,0
5,21,1903,83.06,57.53,17.526,0
5,22,1903,82.16,48.28,0,0
5,23,1903,79.81,43.27,5.08,0
5,24,1903,81.37,55.26,5.334,0
5,25,1903,82.28,57.89,0,0
5,26,1903,75.58,57.88,30.988,0
5,27,1903,77.33,48.64,0,0
5,28,1903,75.81,55.51,13.716,0
5,29,1903,65.71,53.43,37.084,0
5,30,1903,66.01,54.92,8.382,0
5,31,1903,61,45.86,0,0
6,1,1903,60.29,41.97,0,0
6,2,1903,60.88,47.1,0,0
6,3,1903,63.39,51.73,0,0
6,4,1903,73.44,51.69,0,0
6,5,1903,78.48,52.49,0,0
6,6,1903,78.25,56.64,0,0
6,7,1903,77.48,55.4,2.54,0
6,8,1903,81.94,57.63,0,0
6,9,1903,80.14,54.02,0,0
6,10,1903,69.01,52.94,7.874,0
6,11,1903,68.51,40.34,0,0
6,12,1903,71.05,42.07,0,0
6,13,1903,70.87,46.7,0,0
6,14,1903,73.65,48.97,0,0
6,15,1903,77.49,49.71,0,0
6,16,1903,77.51,57.64,0,0
6,17,1903,82.86,53.26,0,0
6,18,1903,89.83,62.91,0,0
6,19,1903,91.98,58.56,0,0
6,20,1903,88.83,59.7,19.05,0
6,21,1903,84.46,61.91,12.446,0
6,22,1903,80.94,53.01,0,0
6,23,1903,76.76,56.18,11.176,0
6,24,1903,75.92,58.81,2.794,0
6,25,1903,76.51,52.37,0,0
6,26,1903,77.25,52.7,0,0
6,27,1903,78.64,55.36,0,0
6,28,1903,87.04,61.6,0,0
6,29,1903,92.17,68.1,0,0
6,30,1903,96.33,72.29,0,0
7,1,1903,95.51,68.86,0,0
7,2,1903,92.35,69.05,0,0
7,3,1903,87.06,63.94,0,0
7,4,1903,83.24,49.33,3.048,0
7,5,1903,82.72,49.12,0,0
7,6,1903,89.91,64.36,0,0
7,7,1903,94.84,68.85,0,0
7,8,1903,96.2,69.87,0,0
7,9,1903,98.29,69.4,0,0
7,10,1903,99.29,68.01,0,0
7,11,1903,97.91,69.12,4.826,0
7,12,1903,91.9,60.32,0,0
7,13,1903,90.33,62.69,0,0
7,14,1903,98.22,66.23,7.874,0
7,15,1903,99.03,67.58,3.556,0
7,16,1903,95.81,70.01,0,0
7,17,1903,90.85,69.08,0,0
7,18,1903,85.2,59.07,0,0
7,19,1903,89.84,57.86,0,0
7,20,1903,97.83,64.36,0,0
7,21,1903,102.22,66.79,0,0
7,22,1903,101.1,70,0,0
7,23,1903,100.02,65.64,0,0
7,24,1903,91.04,67.82,0,0
7,25,1903,92.8,67.33,0,0
7,26,1903,93.99,64.79,0,0
7,27,1903,95.9,66.33,0,0
7,28,1903,95.55,65.49,0,0
7,29,1903,94.4,64.07,0,0
7,30,1903,87.88,63.26,15.24,0
7,31,1903,78.03,55.44,15.24,0
8,1,1903,81.26,56.96,26.416,0
8,2,1903,85.31,62.93,4.064,0
8,3,1903,91.58,69.68,0,0
8,4,1903,93.96,70.08,0,0
8,5,1903,96.97,67.03,0,0
8,6,1903,93.25,64.37,9.144,0
8,7,1903,89.5,65.65,0,0
