MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1891,0,0,0,0
1,2,1891,39.91,16.76,0,0
1,3,1891,39.7,13.5,0,0
1,4,1891,50.42,25.43,0,0
1,5,1891,46.86,20.58,0,0
1,6,1891,43.11,23.97,0,0
1,7,1891,41.17,32.43,0,0
1,8,1891,32.68,27.13,4.064,0
1,9,1891,31.39,26.03,0,0
1,10,1891,30.36,24.85,0,0
1,11,1891,31.68,21.08,4.572,0
1,12,1891,32.16,16.62,0,0
1,13,1891,39.96,14.3,0,0
1,14,1891,43.37,17.61,0,0
1,15,1891,31.61,23.28,1.778,0
1,16,1891,30.72,11.79,0,0
1,17,1891,43.19,13.43,0,0
1,18,1891,45.23,20.33,0,0
1,19,1891,46.44,21.42,0,0
1,20,1891,44.78,23.89,0.254,0
1,21,1891,43.54,24.35,0,0
1,22,1891,40.25,22.02,0,0
1,23,1891,38.93,22.35,0,0
1,24,1891,44.87,18.01,0,0
1,25,1891,53.5,24.95,0,0
1,26,1891,53.55,31.42,0,0
1,27,1891,55.65,31.13,1.27,0
1,28,1891,47.18,36.81,5.08,0
1,29,1891,41.66,26.94,0.762,0
1,30,1891,42.63,23.9,1.778,0
1,31,1891,39.37,22.9,1.016,0
2,1,1891,25.58,7.3,0,0
2,2,1891,31.35,6.81,0,0
2,3,1891,35.39,-0.7,0,0
2,4,1891,46.7,14,0,0
2,5,1891,50.19,24.23,0,0
2,6,1891,44.66,25.31,4.572,0
2,7,1891,51.61,23.37,0,0
2,8,1891,35.12,10.71,1.524,0
2,9,1891,26.6,7.84,0,0
2,10,1891,43.61,10.36,0,0
2,11,1891,49.76,24.34,0,0
2,12,1891,45.23,25.23,0,0
2,13,1891,52.86,23.09,0,0
2,14,1891,57.33,25.09,0,0
2,15,1891,58.79,31.76,0,0
2,16,1891,45.38,19.29,0,0
2,17,1891,32.75,17.7,0,0
2,18,1891,30.15,19.12,0,0
2,19,1891,33.4,25.27,14.224,0
2,20,1891,47.35,27.94,6.35,0
2,21,1891,45.44,23.08,0,0
2,22,1891,51.33,25.64,0,0
2,23,1891,66.33,35.81,0,0
2,24,1891,57.16,21.16,0,0
2,25,1891,23.75,8.97,0,0
2,26,1891,29.99,3.21,0.508,0
2,27,1891,41.75,14.85,0,0
2,28,1891,25.59,0.94,0,0
3,1,1891,47.08,19.49,0,0
3,2,1891,36.25,27.35,0,0
3,3,1891,28.74,9.6,0,0
