MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1890,54.55,19.62,0,0
1,2,1890,32.91,11.1,0,0
1,3,1890,36.41,14.05,0,0
1,4,1890,52.26,34.86,0,0
1,5,1890,48.53,13.36,0,0
1,6,1890,15.81,7.92,7.112,0
1,7,1890,27.4,15.72,0,0
1,8,1890,44.97,19.64,0,0
1,9,1890,56.53,28.04,0,0
1,10,1890,51.92,33.68,16.002,0
1,11,1890,51.18,31.43,0,0
1,12,1890,20.99,8.68,24.13,1.8
1,13,1890,21.42,-0.52,0,0
1,14,1890,38.11,18.51,0,1.5
1,15,1890,20.53,0.45,0,0
1,16,1890,24.8,-7.97,0,0
1,17,1890,38.95,12.37,0,0
1,18,1890,35.3,7.44,0,0
1,19,1890,18.95,3.1,0,0
1,20,1890,15.8,0.92,0,0
1,21,1890,22.96,-1.43,0,0
1,22,1890,31.69,13.9,4.826,0
1,23,1890,38.13,12.01,0,0
1,24,1890,43.72,7.23,0,0
1,25,1890,49.8,37.08,0,0
1,26,1890,56.45,35.43,0,0
1,27,1890,47.41,29.15,0,0
1,28,1890,51.36,30.89,0,0
1,29,1890,60.05,29.71,0,0
1,30,1890,66.18,33.95,0,0
1,31,1890,43.61,34.41,0,0
2,1,1890,43.31,31.32,0,0
2,2,1890,53.54,38.16,0,0
2,3,1890,62.95,44.13,0,0
2,4,1890,71.54,48.13,0,0.3
2,5,1890,43.38,34.93,0,0
2,6,1890,34.56,29.07,5.334,1.3
2,7,1890,46.35,28.13,0,0
2,8,1890,38.41,17.73,0,0
2,9,1890,54.67,23.11,0,0
2,10,1890,63.9,28.24,0,0
2,11,1890,43.38,28.98,0,0
2,12,1890,46.07,19.84,0,0
2,13,1890,48.38,31.11,0,0
2,14,1890,45.09,29.55,0,0
2,15,1890,60.95,22.58,0,0
2,16,1890,67.24,35.72,0,0
2,17,1890,46.9,28.34,0,0
2,18,1890,33.08,18.15,0,0
2,19,1890,37.81,19.79,0,0
2,20,1890,18.99,8.22,0,0
2,21,1890,24.14,12.63,0,0
2,22,1890,36.18,26.69,0,0
2,23,1890,50.86,26.89,0,0
2,24,1890,53.92,28.72,0,0.5
2,25,1890,28.41,10.16,0,0
2,26,1890,18.64,6.85,0,0
2,27,1890,13.75,4.16,0,0
2,28,1890,21.11,-2.71,0,0
3,1,1890,24.29,8.62,0,0
3,2,1890,43.39,6.58,0,0
3,3,1890,58.58,18.92,0,0
3,4,1890,35.36,24.41,0,0
3,5,1890,27.68,16.54,0,0.3
3,6,1890,29.79,14.32,0,0.5
3,7,1890,47.91,20.23,0,0
3,8,1890,45.05,25.38,0,0
3,9,1890,43.32,32.49,0,0
3,10,1890,57.02,38.55,0,0
3,11,1890,48.61,36.59,3.556,0
3,12,1890,53.68,26.34,0,0
3,13,1890,57.66,23.4,0,0
3,14,1890,51.35,20.32,0,0
3,15,1890,33.16,13.81,0,0
3,16,1890,56.51,19.08,0,0
3,17,1890,73.37,36.8,0,0
3,18,1890,64.14,43.23,0,0
3,19,1890,54.84,31.02,0,0
3,20,1890,73.66,42.03,0,0
3,21,1890,71.25,34.87,0,0
3,22,1890,60.46,40.68,0,0
3,23,1890,67.6,37.68,0,0
3,24,1890,76.17,48.1,0,0
3,25,1890,65.49,32.27,0,0
3,26,1890,62.66,37.41,2.54,0
3,27,1890,62.68,34.59,2.794,2
3,28,1890,60.77,27.12,0,0
3,29,1890,62.88,36.45,0,0
3,30,1890,43.42,32.68,5.842,0
3,31,1890,42.03,29.17,0,0
4,1,1890,49.93,30.06,3.81,0
4,2,1890,48.06,39.54,16.256,0
4,3,1890,50.78,44.92,0,0
4,4,1890,67.99,43.91,0,0
4,5,1890,75.9,44.86,0,0
4,6,1890,85.09,58.34,0,0
4,7,1890,89.96,55.4,0,0
4,8,1890,75.39,48.2,0,0
4,9,1890,60.69,38.52,0,0
4,10,1890,81.46,35.23,0,0
4,11,1890,87.62,59.37,0,0
4,12,1890,81.15,62.34,0,0
4,13,1890,71.46,53.41,0,0
4,14,1890,60.63,43.72,0,0
4,15,1890,57.6,47.74,7.366,0
4,16,1890,49.92,43.73,4.572,0
4,17,1890,60.2,42.6,0,0
4,18,1890,69.48,42.62,0,0
4,19,1890,73.01,46.01,0,0
4,20,1890,69.33,49.72,0,0
4,21,1890,69,54.86,4.572,0
4,22,1890,65.83,57.3,0,0
4,23,1890,69.92,58.38,0,0
4,24,1890,71.04,52.25,16.51,0
4,25,1890,56.57,46.77,0,0
4,26,1890,52.72,43.59,0,0
4,27,1890,73.05,39.59,0,0
4,28,1890,79.66,44.33,0,0
4,29,1890,81.07,47.75,0,0
4,30,1890,89.84,58.61,4.064,0
5,1,1890,76.25,54.05,0,0
5,2,1890,80.44,48.9,0,0
5,3,1890,84.05,55.36,0,0
5,4,1890,66.76,51.71,3.048,0
5,5,1890,61.21,38.55,0,0
5,6,1890,63.2,40.64,0,0
5,7,1890,67.46,36.41,0,0
5,8,1890,78.17,50.75,0,0
5,9,1890,86.09,64.33,2.794,0
5,10,1890,70.23,55.37,0,0
5,11,1890,81.99,49.11,0,0
5,12,1890,84.33,54.86,0,0
5,13,1890,66.17,44.77,0,0
5,14,1890,81.08,43.73,0,0
5,15,1890,63.9,43.65,3.556,0
5,16,1890,73.65,40.68,0,0
5,17,1890,81.58,49.12,0,0
5,18,1890,80.25,55.41,9.144,0
5,19,1890,77.35,53.63,0,0
5,20,1890,69.12,54.11,13.208,0
5,21,1890,80.35,58.47,0,0
5,22,1890,88.92,67.12,7.62,0
5,23,1890,77.8,62.95,6.858,0
5,24,1890,75.43,58.98,2.794,0
5,25,1890,85.99,54.37,0,0
5,26,1890,74.94,53.81,0,0
5,27,1890,86.59,58.79,0,0
5,28,1890,86.95,67.86,0,0
5,29,1890,89.34,69.92,0,0
5,30,1890,73.66,61.74,24.384,0
5,31,1890,78.74,62.26,0,0
6,1,1890,87.77,62.48,0,0
6,2,1890,88.15,68.26,0,0
6,3,1890,88.93,72.39,0,0
6,4,1890,81.98,67.19,0,0
6,5,1890,83.37,59.66,0,0
6,6,1890,80.08,55.91,0,0
6,7,1890,77.42,52.67,0,0
6,8,1890,73.19,56.68,0,0
6,9,1890,77.97,59.74,6.858,0
6,10,1890,88.93,63.4,0,0
6,11,1890,91.11,67.03,0,0
6,12,1890,95.59,67.12,0,0
6,13,1890,94.08,74.4,0,0
6,14,1890,88.24,70.03,7.874,0
6,15,1890,86.85,63.94,0,0
6,16,1890,88.68,67.47,17.272,0
6,17,1890,87.12,64.83,22.098,0
6,18,1890,92.78,73.57,0,0
6,19,1890,89.28,70.12,6.096,0
6,20,1890,93.68,74.31,0,0
6,21,1890,94.51,76.31,0,0
6,22,1890,97.58,73.69,0,0
6,23,1890,96.25,75.44,0,0
6,24,1890,98.69,75.87,0,0
6,25,1890,96.68,71.17,0,0
6,26,1890,97.42,75.31,0,0
6,27,1890,98.99,74.61,0,0
6,28,1890,101.16,75.01,6.858,0
6,29,1890,95.79,72.58,0,0
