MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1900,42,9,0,0
1,2,1900,51,10,0,0
1,3,1900,59,19,0,0
1,4,1900,47,21,0,0
1,5,1900,53,30,0,0
1,6,1900,55,30,0,0
1,7,1900,60,35,0,0
1,8,1900,62,46,0,0
1,9,1900,50,26,7.112,0
1,10,1900,50,26,0,0
1,11,1900,53,26,0,0
1,12,1900,62,26,0,0
1,13,1900,74,31,0,0
1,14,1900,74,28,0,0
1,15,1900,57,21,0,0
1,16,1900,36,25,0,0
1,17,1900,55,27,0,0
1,18,1900,55,22,0,0
1,19,1900,64,22,0,0
1,20,1900,61,21,0,0
1,21,1900,60,22,0,0
1,22,1900,65,24,0,0
1,23,1900,70,27,0,0
1,24,1900,59,15,0,0
1,25,1900,47,14,0,0
1,26,1900,51,15,0,0
1,27,1900,47,10,3.048,1.5
1,28,1900,25,8,0,0
1,29,1900,62,17,0,0
1,30,1900,51,21,0,0
1,31,1900,54,14,0,0
2,1,1900,64,20,0,0
2,2,1900,61,21,0,0
2,3,1900,63,19,0,0
2,4,1900,51,19,0,0
2,5,1900,67,15,0,0
2,6,1900,63,16,0,0
2,7,1900,56,9,5.08,1
2,8,1900,25,10,0,0
2,9,1900,40,14,0,0
2,10,1900,52,14,0,0
2,11,1900,67,29,0,0
2,12,1900,42,12,0,0
2,13,1900,45,15,0,0
2,14,1900,26,6,0,0
2,15,1900,20,16,0,0
2,16,1900,16,-6,10.16,4
2,17,1900,20,0,0,0
2,18,1900,59,9,0,0
2,19,1900,55,25,0,0
2,20,1900,35,21,0,0
2,21,1900,57,20,0,0
2,22,1900,69,19,0,0
2,23,1900,48,17,0,0
2,24,1900,58,19,0,0
2,25,1900,70,23,0,0
2,26,1900,52,28,0,0
2,27,1900,31,14,20.32,8
2,28,1900,43,8,0,0
3,1,1900,54,11,0,0
3,2,1900,52,26,0,0
3,3,1900,63,28,0,0
3,4,1900,36,26,0,0
3,5,1900,38,23,0,0
3,6,1900,48,17,0,0
3,7,1900,60,18,0,0
3,8,1900,73,27,0,0
3,9,1900,76,30,0,0
3,10,1900,87,36,0,0
3,11,1900,93,34,0,0
3,12,1900,94,36,0,0
3,13,1900,69,38,0,0
3,14,1900,42,21,3.302,0
3,15,1900,36,19,0,0
3,16,1900,47,21,0,0
3,17,1900,60,30,0,0
3,18,1900,73,34,0,0
3,19,1900,71,33,0,0
3,20,1900,59,22,0,0
3,21,1900,50,31,12.7,0.5
3,22,1900,54,42,0,0
3,23,1900,64,44,0,0
3,24,1900,70,42,0,0
3,25,1900,67,36,0,0
3,26,1900,77,37,0,0
3,27,1900,78,45,0,0
3,28,1900,66,35,0,0
3,29,1900,64,28,0,0
3,30,1900,55,25,0,0
3,31,1900,62,40,0,0
4,1,1900,83,34,0,0
4,2,1900,86,45,0,0
4,3,1900,87,51,0,0
4,4,1900,56,46,0.508,0
4,5,1900,54,45,51.562,0
4,6,1900,65,44,9.906,0
4,7,1900,60,49,5.588,0
4,8,1900,64,47,0.508,0
4,9,1900,75,49,1.778,0
4,10,1900,47,25,17.272,0.5
4,11,1900,50,30,0,0
4,12,1900,58,32,0,0
4,13,1900,68,43,0,0
4,14,1900,73,48,12.7,0
4,15,1900,70,46,0.508,0
4,16,1900,65,46,0,0
4,17,1900,66,42,0.254,0
4,18,1900,51,45,9.398,0
4,19,1900,66,37,0,0
4,20,1900,70,43,0,0
4,21,1900,75,49,1.778,0
4,22,1900,78,46,0,0
4,23,1900,78,37,0,0
4,24,1900,73,51,0,0
4,25,1900,81,49,0,0
4,26,1900,85,55,5.334,0
4,27,1900,67,55,1.27,0
4,28,1900,77,53,0.508,0
4,29,1900,73,54,15.748,0
4,30,1900,58,44,31.496,0
5,1,1900,72.15,49.72,0,0
5,2,1900,75,38,0,0
5,3,1900,75,49,0,0
5,4,1900,86,56,0,0
5,5,1900,88,50,0,0
5,6,1900,89,55,0.762,0
5,7,1900,80,53,0,0
5,8,1900,84,48,0,0
5,9,1900,78,42,0,0
5,10,1900,83,54,0,0
5,11,1900,85,63,0,0
5,12,1900,89,66,0,0
5,13,1900,85,59,8.128,0
5,14,1900,76,59,0,0
5,15,1900,62,49,1.27,0
5,16,1900,62,47,0.762,0
5,17,1900,70,55,0.762,0
5,18,1900,72,49,0,0
5,19,1900,70,43,0,0
5,20,1900,66,45,0,0
5,21,1900,70,53,4.064,0
5,22,1900,73,50,0,0
5,23,1900,85,51,0,0
5,24,1900,85,59,0,0
5,25,1900,88,55,15.24,0
5,26,1900,81,56,0,0
5,27,1900,81,58,0,0
5,28,1900,81,56,0,0
5,29,1900,84,60,0,0
5,30,1900,87,57,0,0
5,31,1900,90,61,0,0
6,1,1900,84,59,0,0
6,2,1900,83,54,0,0
6,3,1900,85,57,0,0
6,4,1900,85,58,14.732,0
6,5,1900,90,61,0,0
6,6,1900,99,62,0,0
6,7,1900,100,62,0,0
6,8,1900,90,64,2.032,0
6,9,1900,93,62,0.508,0
6,10,1900,79,58,32.512,0
6,11,1900,82,61,1.778,0
6,12,1900,89,61,7.112,0
6,13,1900,81,56,0,0
6,14,1900,83,61,1.778,0
6,15,1900,85,60,0,0
6,16,1900,92,66,0,0
6,17,1900,93,61,4.826,0
6,18,1900,85,59,0,0
6,19,1900,86,61,0,0
6,20,1900,89,63,0,0
6,21,1900,98,70,0,0
6,22,1900,91,58,0,0
6,23,1900,85,58,0,0
6,24,1900,88,58,0,0
6,25,1900,95,61,0,0
6,26,1900,107,64,0,0
6,27,1900,105,64,0,0
6,28,1900,104,70,0,0
6,29,1900,102,67,0,0
6,30,1900,97,65,0,0
7,1,1900,93,71,0,0
7,2,1900,97,73,0,0
7,3,1900,96,72,0,0
7,4,1900,90,64,4.572,0
7,5,1900,95,71,0,0
7,6,1900,101,62,0,0
7,7,1900,91,66,0,0
7,8,1900,102,62,3.048,0
7,9,1900,99,61,1.778,0
7,10,1900,98,64,0,0
7,11,1900,98,65,0,0
7,12,1900,98,71,0,0
7,13,1900,95,70,0,0
7,14,1900,96,72,0,0
7,15,1900,98,65,10.922,0
7,16,1900,87,54,0,0
7,17,1900,84,62,0,0
7,18,1900,98,70,0,0
7,19,1900,97,62,3.556,0
7,20,1900,81,56,0,0
7,21,1900,97,67,0,0
7,22,1900,97,69,0,0
7,23,1900,95,65,4.318,0
7,24,1900,88,61,0,0
7,25,1900,89,55,0,0
7,26,1900,89,58,0,0
7,27,1900,94,64,0,0
7,28,1900,95,61,21.082,0
7,29,1900,88,64,0,0
7,30,1900,93,64,0,0
7,31,1900,95,66,0,0
8,1,1900,96,64,0,0
8,2,1900,94,69,0,0
8,3,1900,93,70,0,0
8,4,1900,89,71,0,0
8,5,1900,87,70,0,0
8,6,1900,93,67,0,0
8,7,1900,91,69,0,0
8,8,1900,93,71,0,0
8,9,1900,91,71,0,0
8,10,1900,93,69,0,0
8,11,1900,97,70,0,0
8,12,1900,102,69,0,0
8,13,1900,105,70,0,0
8,14,1900,103,74,0,0
8,15,1900,104,75,0,0
8,16,1900,105,73,0,0
8,17,1900,98,72,0,0
8,18,1900,96,69,0,0
8,19,1900,99,68,0,0
8,20,1900,102,68,0,0
8,21,1900,103,68,0,0
8,22,1900,98,61,32.512,0
8,23,1900,91,58,0,0
8,24,1900,93,64,0,0
8,25,1900,93,56,0,0
8,26,1900,98,74,0,0
8,27,1900,102,68,0,0
8,28,1900,90,58,0,0
8,29,1900,91,60,0,0
8,30,1900,91,65,0,0
8,31,1900,90,65,22.098,0
9,1,1900,92,70,0,0
9,2,1900,95,67,0,0
9,3,1900,86,65,16.764,0
9,4,1900,91,64,0,0
9,5,1900,95,65,0,0
9,6,1900,95,64,0,0
9,7,1900,95,65,0,0
9,8,1900,94,62,0,0
9,9,1900,87,68,42.164,0
9,10,1900,75,61,10.668,0
9,11,1900,86,60,18.034,0
9,12,1900,86,61,0,0
9,13,1900,90,66,0,0
9,14,1900,97,54,0,0
9,15,1900,88,54,0,0
9,16,1900,65,50,0,0
9,17,1900,80,52,2.286,0
9,18,1900,90,54,0,0
9,19,1900,81,48,0,0
9,20,1900,84,54,0,0
9,21,1900,73,60,0,0
9,22,1900,80,58,2.032,0
9,23,1900,82,62,5.08,0
9,24,1900,84,67,0,0
9,25,1900,88,54,0,0
9,26,1900,61,45,3.556,0
9,27,1900,51,45,7.874,0
9,28,1900,58,39,2.794,0
9,29,1900,80,47,0,0
9,30,1900,88,60,0,0
10,1,1900,87,64,0,0
10,2,1900,89,65,0,0
10,3,1900,90,68,0,0
10,4,1900,94,68,0,0
10,5,1900,93,60,2.032,0
10,6,1900,80,39,0,0
10,7,1900,68,32,0,0
10,8,1900,71,34,0,0
10,9,1900,74,34,0,0
10,10,1900,69,29,0,0
10,11,1900,75,34,0,0
10,12,1900,80,42,0,0
10,13,1900,85,42,0,0
10,14,1900,81,49,0,0
10,15,1900,74,51,0,0
10,16,1900,69,34,0,0
10,17,1900,69,36,0,0
10,18,1900,75,50,0,0
10,19,1900,77,59,0,0
10,20,1900,71,48,2.794,0
10,21,1900,66,44,0,0
10,22,1900,78,37,0,0
10,23,1900,86,38,0,0
10,24,1900,79,43,0,0
10,25,1900,84,54,0,0
10,26,1900,84,56,0,0
10,27,1900,81,57,12.446,0
10,28,1900,72,41,9.652,0
10,29,1900,71,44,0,0
10,30,1900,71,44,2.032,0
10,31,1900,60,28,0,0
11,1,1900,64,34,0,0
11,2,1900,69,33,0,0
11,3,1900,69,38,0,0
11,4,1900,82,34,0,0
11,5,1900,69,35,0,0
11,6,1900,74,32,0,0
11,7,1900,71,31,0,0
11,8,1900,49,24,0,0
11,9,1900,55,25,0,0
11,10,1900,58,28,0,0
11,11,1900,50,20,0,0
11,12,1900,78,30,0,0
11,13,1900,62,20,0,0
11,14,1900,60,26,0,0
11,15,1900,46,20,0,0
11,16,1900,68,28,0,0
11,17,1900,74,31,0,0
11,18,1900,40,30,0.508,0
11,19,1900,42,28,1.27,0
11,20,1900,34,28,2.032,0
11,21,1900,65,32,0,0
11,22,1900,75,33,0,0
11,23,1900,44,33,0,0
11,24,1900,52,16,0,0
11,25,1900,55,16,0,0
11,26,1900,53,18,0,0
11,27,1900,53,27,0,0
11,28,1900,56,21,0,0
11,29,1900,57,21,0,0
11,30,1900,63,19,0,0
12,1,1900,70,19,0,0
12,2,1900,49,21,0,0
12,3,1900,48,21,0,0
12,4,1900,61,28,0,0
12,5,1900,57,30,0,0
12,6,1900,68,25,0,0
12,7,1900,54,18,0,0
12,8,1900,70,17,0,0
12,9,1900,43,14,0,0
12,10,1900,55,13,0,0
12,11,1900,39,15,0,0
12,12,1900,58,18,0,0
12,13,1900,69,19,0,0
12,14,1900,58,15,0,0
12,15,1900,52,23,0,0
12,16,1900,63,17,0,0
12,17,1900,73,20,0,0
12,18,1900,55,25,0,0
12,19,1900,58,17,0,0
12,20,1900,64,16,0,0
12,21,1900,69,22,0,0
12,22,1900,52,30,0,0
12,23,1900,48,21,0,0
12,24,1900,51,12,0,0
12,25,1900,57,14,0,0
12,26,1900,53,20,0,0
12,27,1900,48,21,0,0
12,28,1900,38,7,0,0
12,29,1900,48,5,0,0
12,30,1900,39,-3,0.254,0.1
12,31,1900,19,-6,0,0
1,1,1901,25,-4,0,0
1,2,1901,38,-1,0,0
1,3,1901,52,-1,0,0
1,4,1901,47,10,0,0
1,5,1901,33,10,0,0
1,6,1901,54,10,0,0
1,7,1901,70,12,0,0
1,8,1901,42,21,0,0
1,9,1901,29,8,5.08,0
1,10,1901,29,11,0,0
1,11,1901,45,14,0,0
1,12,1901,57,21,0,0
1,13,1901,66,27,0,0
1,14,1901,70,23,0,0
1,15,1901,70,17,0,0
1,16,1901,57,18,0,0
1,17,1901,51,19,0,0
1,18,1901,61,16,0,0
1,19,1901,68,16,0,0
1,20,1901,70,26,0,0
1,21,1901,58,19,0,0
1,22,1901,69,19,0,0
1,23,1901,61,17,0,0
1,24,1901,47,17,0,0
