MONTH,DAY,YEAR,TMAX,TMIN,RAIN,SNOW
1,1,1890,54.83,22.69,0,0
1,2,1890,31.84,13.31,0,0
1,3,1890,37.91,16.95,0,0
1,4,1890,52.29,36.13,0,0
1,5,1890,55.78,15.6,3.81,0
1,6,1890,16.95,10.39,14.478,0
1,7,1890,26.21,17.41,0,0
1,8,1890,43.95,21,0,0
1,9,1890,54.93,31.01,0,0
1,10,1890,54.39,37.95,11.176,0
1,11,1890,55.33,34.86,0,0
1,12,1890,25.45,9.35,29.21,0
1,13,1890,22.11,3.02,0,0
1,14,1890,39.47,20.28,0,0
1,15,1890,23.78,2.97,0,0
1,16,1890,26.02,-3.35,0,0
1,17,1890,41.64,16.56,0,0
1,18,1890,39.93,12.51,0,0
1,19,1890,23.55,5.31,0,0
1,20,1890,17.02,3.39,0,0
1,21,1890,24.79,2.38,0,0
1,22,1890,31.55,17.37,4.318,0
1,23,1890,38.91,17.54,0,0
1,24,1890,44.61,12.68,0,0
1,25,1890,51.02,41.01,0,0
1,26,1890,60.97,38.81,0,0
1,27,1890,48.96,31.47,0,0
1,28,1890,52.8,32.33,0,0
1,29,1890,61.36,32.25,0,0
1,30,1890,68.73,37.43,0,0
1,31,1890,43.14,35.91,0,0
2,1,1890,42.65,33.4,0,0
2,2,1890,54.68,38.77,0,0
2,3,1890,66.44,48.17,0,0
2,4,1890,72.68,52.17,0,0
2,5,1890,43.91,36.54,0,0
2,6,1890,34.78,30.26,7.112,0
2,7,1890,45.85,28.57,0,0
2,8,1890,39.96,18.56,0,0
2,9,1890,55.45,25.27,0,0
2,10,1890,63.69,30.83,0,0
2,11,1890,43.91,30.7,0,0
2,12,1890,46.46,22.82,0,0
2,13,1890,46.11,33.27,0,0
2,14,1890,44.56,31.48,0,0
2,15,1890,60.84,24.69,0,0
2,16,1890,68.19,38.21,0,0
2,17,1890,48.63,31,0,0
2,18,1890,35,20.45,0,0
2,19,1890,38.97,21.82,0,0
2,20,1890,19.04,10.03,0,0
2,21,1890,26.52,14.04,0,0
2,22,1890,38.68,30.15,0,0
2,23,1890,50.48,29.18,0,0
2,24,1890,57.24,30.41,0,0
2,25,1890,30.57,11.62,0,0
2,26,1890,20,8.97,3.048,0
2,27,1890,13.66,5.62,0,0
2,28,1890,20.82,-1.66,0,0
3,1,1890,24.54,10.09,0,0
3,2,1890,43.06,8.68,0,0
3,3,1890,59.09,21.39,0,0
3,4,1890,36.8,25.96,0,0
3,5,1890,29.2,17.68,0,0
3,6,1890,31.87,15.6,0,0
3,7,1890,49.64,23.68,0,0
3,8,1890,45.93,25.91,0,0
3,9,1890,44.6,31.52,0,0
3,10,1890,61.7,40.62,4.064,0
3,11,1890,48.14,37.84,4.572,0
3,12,1890,54.4,27.5,0,0
3,13,1890,56.5,26.61,0,0
3,14,1890,53.65,22.4,0,0
3,15,1890,32.98,14.97,0,0
3,16,1890,55.83,20.2,0,0
3,17,1890,73.96,38.82,0,0
3,18,1890,64.87,45.03,0,0
3,19,1890,56.18,32.9,0,0
3,20,1890,72.5,43.85,0,0
3,21,1890,71.33,38.88,0,0
3,22,1890,60.47,42.2,0,0
3,23,1890,67.19,39.2,0,0
3,24,1890,76.76,51.11,0,0
3,25,1890,66.51,35.24,0,0
3,26,1890,64.3,41.71,0,0
3,27,1890,61.4,35.84,0,0
3,28,1890,60.97,28.42,0,0
3,29,1890,68.03,39.77,0,0
3,30,1890,42.11,33.4,10.922,0
3,31,1890,40.25,29.77,0,0
4,1,1890,48.74,32.11,6.35,0
4,2,1890,50.11,41.53,15.494,0
4,3,1890,51.72,44.59,0,0
4,4,1890,68.05,45.28,0,0
4,5,1890,75.69,46.13,0,0
4,6,1890,84.56,59.5,0,0
4,7,1890,88.99,58.61,0,0
4,8,1890,75.06,49.83,0,0
4,9,1890,60.55,39.43,0,0
4,10,1890,81.47,38.68,0,0
4,11,1890,86.29,60.76,0,0
4,12,1890,81.82,61.9,0,0
4,13,1890,75.92,54.96,0,0
4,14,1890,59.24,45.41,0,0
4,15,1890,55.19,47.71,3.556,0
4,16,1890,49.59,44.56,5.08,0
4,17,1890,57.38,42.99,0,0
4,18,1890,68.57,44.89,0,0
4,19,1890,72.15,48.75,0,0
4,20,1890,69.69,51.41,0,0
4,21,1890,69.8,56.13,5.334,0
4,22,1890,64.43,57.5,0,0
4,23,1890,71.58,58.91,0,0
4,24,1890,71.21,53.14,26.162,0
4,25,1890,57.58,47.77,0,0
4,26,1890,50.81,44.84,0,0
4,27,1890,72.36,42.44,0,0
