STATION,NAME,MONTH,DAY,YEAR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",1,3,1950,0,0,0,NaN,55,25
USW00023183,"PHOENIX AIRPORT, AZ US",1,4,1950,0,0,0,NaN,47,19
USW00023183,"PHOENIX AIRPORT, AZ US",1,5,1950,0,0,0,NaN,51,17
USW00023183,"PHOENIX AIRPORT, AZ US",1,6,1950,0,0,0,NaN,59,19
USW00023183,"PHOENIX AIRPORT, AZ US",1,7,1950,0,0,0,NaN,67,23
USW00023183,"PHOENIX AIRPORT, AZ US",1,8,1950,0,0,0,NaN,61,35
USW00023183,"PHOENIX AIRPORT, AZ US",1,9,1950,0,0,0,NaN,62,38
USW00023183,"PHOENIX AIRPORT, AZ US",1,10,1950,0,0,0,NaN,61,30
USW00023183,"PHOENIX AIRPORT, AZ US",1,11,1950,0,0,0,NaN,63,34
USW00023183,"PHOENIX AIRPORT, AZ US",1,12,1950,0.09,0,0,NaN,56,33
USW00023183,"PHOENIX AIRPORT, AZ US",1,13,1950,0,0,0,NaN,55,34
USW00023183,"PHOENIX AIRPORT, AZ US",1,14,1950,0,0,0,NaN,60,31
USW00023183,"PHOENIX AIRPORT, AZ US",1,15,1950,0,0,0,NaN,60,30
USW00023183,"PHOENIX AIRPORT, AZ US",1,16,1950,0,0,0,NaN,65,29
USW00023183,"PHOENIX AIRPORT, AZ US",1,17,1950,0,0,0,NaN,72,34
USW00023183,"PHOENIX AIRPORT, AZ US",1,18,1950,0,0,0,NaN,75,39
USW00023183,"PHOENIX AIRPORT, AZ US",1,19,1950,0,0,0,NaN,78,39
USW00023183,"PHOENIX AIRPORT, AZ US",1,20,1950,0,0,0,NaN,84,40
USW00023183,"PHOENIX AIRPORT, AZ US",1,21,1950,0,0,0,NaN,78,40
USW00023183,"PHOENIX AIRPORT, AZ US",1,22,1950,0,0,0,NaN,75,45
USW00023183,"PHOENIX AIRPORT, AZ US",1,23,1950,0,0,0,NaN,76,40
USW00023183,"PHOENIX AIRPORT, AZ US",1,24,1950,0,0,0,NaN,71,48
USW00023183,"PHOENIX AIRPORT, AZ US",1,25,1950,0,0,0,NaN,58,36
USW00023183,"PHOENIX AIRPORT, AZ US",1,26,1950,0,0,0,NaN,63,26
USW00023183,"PHOENIX AIRPORT, AZ US",1,27,1950,0,0,0,NaN,71,26
USW00023183,"PHOENIX AIRPORT, AZ US",1,28,1950,0,0,0,NaN,68,33
USW00023183,"PHOENIX AIRPORT, AZ US",1,29,1950,0.22,0,0,NaN,51,46
USW00023183,"PHOENIX AIRPORT, AZ US",1,30,1950,0.1,0,0,NaN,63,43
USW00023183,"PHOENIX AIRPORT, AZ US",1,31,1950,0,0,0,NaN,62,37
USW00023183,"PHOENIX AIRPORT, AZ US",2,1,1950,0,0,0,NaN,64,31
USW00023183,"PHOENIX AIRPORT, AZ US",2,2,1950,0,0,0,NaN,67,36
USW00023183,"PHOENIX AIRPORT, AZ US",2,3,1950,0,0,0,NaN,76,40
USW00023183,"PHOENIX AIRPORT, AZ US",2,4,1950,0,0,0,NaN,76,41
USW00023183,"PHOENIX AIRPORT, AZ US",2,5,1950,0,0,0,NaN,77,46
USW00023183,"PHOENIX AIRPORT, AZ US",2,6,1950,0,0,0,NaN,77,42
USW00023183,"PHOENIX AIRPORT, AZ US",2,7,1950,0,0,0,NaN,76,52
USW00023183,"PHOENIX AIRPORT, AZ US",2,8,1950,0,0,0,NaN,74,41
USW00023183,"PHOENIX AIRPORT, AZ US",2,9,1950,0,0,0,NaN,74,41
USW00023183,"PHOENIX AIRPORT, AZ US",2,10,1950,0,0,0,NaN,67,50
USW00023183,"PHOENIX AIRPORT, AZ US",2,11,1950,0.37,0,0,NaN,60,45
USW00023183,"PHOENIX AIRPORT, AZ US",2,12,1950,0,0,0,NaN,65,36
USW00023183,"PHOENIX AIRPORT, AZ US",2,13,1950,0,0,0,NaN,67,37
USW00023183,"PHOENIX AIRPORT, AZ US",2,14,1950,0,0,0,NaN,71,37
USW00023183,"PHOENIX AIRPORT, AZ US",2,15,1950,0,0,0,NaN,80,39
USW00023183,"PHOENIX AIRPORT, AZ US",2,16,1950,0,0,0,NaN,81,41
USW00023183,"PHOENIX AIRPORT, AZ US",2,17,1950,0,0,0,NaN,82,44
USW00023183,"PHOENIX AIRPORT, AZ US",2,18,1950,0,0,0,NaN,83,43
USW00023183,"PHOENIX AIRPORT, AZ US",2,19,1950,0,0,0,NaN,80,44
USW00023183,"PHOENIX AIRPORT, AZ US",2,20,1950,0,0,0,NaN,82,53
